id	mass	x	y	vel_x	vel_y
0	5.95191e+36	-2.98351e+13	-5.28314e+11	-557.153	590.4
1	6.85915e+31	1.04049e+16	8.79058e+16	67645.1	-12662.1
2	2.21607e+31	-5.88003e+17	-9.7095e+17	-3.08651e+06	-4.70478e+06
3	2.0144e+32	7.59957e+14	-1.8267e+16	-157569	11319.5
4	1.23518e+33	-1.46787e+16	-4.42832e+15	-2350.19	163487
5	7.95267e+33	-3.17307e+16	-3.16674e+15	8410.47	112598
6	2.2521e+32	-1.41543e+16	-6.94962e+15	-45501.3	123095
7	6.26432e+31	1.1988e+17	-1.89941e+17	-35596.4	-21323.8
8	7.61939e+32	8.37232e+15	2.78665e+16	135973	-31500.9
9	5.56877e+32	-6.52432e+15	8.03192e+15	169251	108739
10	2.14752e+32	4.74084e+16	1.4353e+15	-20497.2	-96988.8
11	2.3317e+32	-8.24188e+16	-3.60799e+16	-18255.6	68628
12	3.91521e+30	7.10633e+15	8.36136e+15	143427	-152913
13	1.69904e+31	2.31646e+16	-1.33782e+17	-55617.6	-7134.62
14	2.44415e+33	4.62118e+15	-4.02171e+15	-139777	-209406
15	1.58646e+30	5.42627e+16	7.3771e+16	53019.2	-39835.7
16	2.52272e+33	1.62153e+17	-2.51686e+17	-31486.4	-19707.9
17	2.73848e+32	1.36683e+17	1.20699e+17	27462.2	-33002.9
18	4.85792e+30	2.53967e+16	1.10798e+16	66825.7	-120348
19	1.23205e+31	7.22252e+16	1.61813e+17	42021.2	-20358.9
20	3.0562e+32	1.10709e+16	-4.53455e+15	-126054	-112740
21	6.53674e+32	-1.26487e+16	1.33763e+16	141890	112721
22	9.49579e+31	-4.52532e+15	-5.05576e+16	-73401.2	27543.2
23	9.34914e+32	-1.78332e+16	-2.29637e+16	-112412	69973.1
24	3.953e+31	2.78187e+16	-6.83009e+15	-60920.3	-96058.9
25	9.27382e+32	1.43304e+17	-1.93003e+17	-31139.6	-21881.4
26	1.18569e+33	-3.4633e+16	-1.48977e+16	-15627.5	102237
27	1.30582e+32	-5.03545e+16	-2.88355e+16	-594467	78431
28	4.39615e+32	-1.48792e+17	4.45267e+16	16462.8	50172.9
29	2.93949e+32	-9.58191e+15	-5.65477e+16	-85054.8	22261.9
30	1.04425e+32	-1.05524e+16	-3.22218e+16	-133954	52629.2
31	1.23251e+31	1.75448e+16	-5.04893e+16	-88545.6	-23588.8
32	1.46412e+33	3.95214e+15	-1.95105e+15	-65085.8	-298693
33	1.7343e+33	-2.70059e+16	-6.77647e+15	852.373	120002
34	3.10608e+33	-5.80292e+15	-1.2622e+17	-54711.7	-7097.58
35	1.74396e+33	-4.49824e+15	7.6975e+16	-121043	143549
36	1.7344e+30	-4.37407e+16	3.03656e+16	60027.6	51728.2
37	1.23592e+32	2.28141e+16	3.22145e+16	50927.7	-67940.6
38	3.52502e+33	9.42995e+15	8.91684e+15	134880	-109584
39	2.27814e+32	9.31406e+15	-1.54835e+14	-14573.8	-207954
40	4.85987e+31	3.64776e+16	1.81226e+16	32505.3	-93443.9
41	1.84566e+32	-1.12419e+15	-1.29117e+17	-54838.9	4092.58
42	7.20079e+32	1.15485e+15	-9.65031e+16	-58752.7	3258.04
43	5.02833e+31	4.9687e+16	-9.72177e+16	-50624.2	-23445.7
44	3.74687e+31	4.86188e+16	-6.84236e+16	-60615.9	-37261.2
45	1.92109e+32	5.69562e+15	1.10666e+17	60959	-5777.83
46	8.05009e+32	-3.49096e+16	-2.47369e+16	-85642.3	73794.1
47	7.65994e+30	-1.03759e+16	-9.4521e+15	-122325	126498
48	5.09998e+32	-5.10277e+16	7.94852e+16	63703.2	38521
49	6.23815e+32	2.57543e+16	5.57385e+16	72000.2	-39890.6
50	1.42418e+33	-4.09317e+15	1.69333e+16	125543	103165
51	4.64619e+32	-8.05364e+15	-1.44268e+16	-139136	36012.9
52	4.9548e+31	-1.81032e+17	-7.46574e+16	-17535.9	44658.4
53	1.57755e+33	-2.50886e+16	7.93019e+16	63467.6	1037.27
54	1.12643e+33	-4.40874e+16	-5.01748e+16	-44994.4	56008.1
55	1.58633e+31	-2.41682e+16	5.76069e+15	63828.5	109533
56	2.28915e+32	-1.41056e+16	5.41216e+16	91560.3	3445.08
57	2.08638e+31	1.39105e+17	7.22583e+16	22107.7	-45638.7
58	2.10803e+31	2.33403e+16	6.74374e+15	87476.6	-133050
59	3.00503e+30	-1.11953e+16	6.75538e+15	71381.3	163107
60	7.02615e+32	-1.1622e+16	1.88035e+15	-18027.9	196592
61	1.76775e+31	-8.43468e+16	1.36688e+17	44995.3	26309.7
62	1.5941e+31	-8.24245e+16	-2.09586e+17	-41284.2	17080.5
63	8.84274e+30	-1.35687e+17	-8.71633e+16	-24237.3	41064.6
64	2.86129e+31	4.40253e+15	-1.22792e+16	-120323	-74718.7
65	3.50064e+33	-1.54284e+16	-1.03403e+16	-23974.1	135865
66	3.15932e+31	-5.92066e+16	-2.54719e+16	-21785	72017.2
67	9.41769e+31	1.46891e+17	6.34488e+16	18667.9	-46810.3
68	2.4283e+33	4.27781e+16	-2.47817e+16	-53612.6	-72073.2
69	9.49008e+30	-6.50599e+15	-2.43502e+15	-211169	105436
70	4.351e+32	2.06589e+15	5.93253e+16	72344.8	-15425.1
71	1.79175e+33	3.36674e+16	1.31536e+16	17367	-106685
72	6.19992e+33	-2.25128e+16	5.02525e+16	84769.7	34579.3
73	2.16955e+31	-1.53948e+16	-2.18178e+16	-146402	-27734.8
74	2.22198e+32	1.71575e+16	1.72333e+16	123393	-72956
75	1.45469e+32	5.77616e+16	8.66235e+16	46799.4	-36257.4
76	1.25596e+32	4.27357e+16	-4.02126e+16	-63308	-56899.4
77	5.49904e+31	-2.91244e+16	7.3651e+15	45567.7	95974.9
78	1.05412e+32	-3.87675e+15	-2.17184e+14	-32972.4	330625
79	4.64679e+33	2.53516e+16	8.22319e+15	11045.5	-117598
80	6.11352e+33	-9.83594e+16	9.90066e+16	38048.9	33744.7
81	1.69755e+31	8.74511e+16	-6.32569e+16	-36439.7	-43899.6
82	3.54181e+32	4.75007e+16	1.6701e+16	28205.8	-101909
83	9.97393e+30	-3.15053e+16	-2.03169e+16	-54732.1	112906
84	7.27506e+30	-3.54097e+16	-3.03809e+16	-61293.4	76514.8
85	2.96659e+32	4.8974e+15	1.8516e+16	144781	28904.6
86	1.01684e+32	9.72096e+15	3.86455e+16	110563	-8763.65
87	1.92551e+33	-3.96198e+15	5.89288e+16	79868.3	-4699.91
88	2.47278e+31	3.15343e+15	9.35326e+15	232483	-17815.2
89	7.41683e+30	4.89893e+16	-1.39317e+17	-49454.2	-13523.7
90	1.48321e+32	-3.43271e+16	-4.58568e+16	-357602	-422325
91	1.35913e+31	-1.43814e+17	2.07777e+17	34788.3	23688.6
92	2.90899e+31	-8.25918e+15	-5.25964e+16	-88273.1	23918.9
93	8.28596e+30	2.24595e+16	1.94595e+16	128372	-123064
94	3.71461e+33	-8.00983e+14	9.86043e+16	67905.1	-2744.61
95	2.81143e+33	-1.28193e+16	-1.10912e+17	-52925.1	10956.5
96	4.52652e+33	2.58959e+15	-5.10984e+16	-95244.2	-2110.51
97	5.06615e+32	-4.98353e+16	3.38072e+16	43039	66045.5
98	1.60777e+32	2.99449e+15	-1.77465e+15	-189428	-308321
99	4.27622e+31	-9.87376e+15	2.05853e+16	127633	69454.2
100	5.21201e+33	-6.31053e+16	5.59438e+16	50201.3	40755
101	2.61283e+31	1.60829e+16	-6.10499e+15	-100895	-129954
102	1.5527e+31	-1.08702e+16	5.26656e+16	87448.1	10891.6
103	2.47156e+32	8.26592e+16	-1.56229e+17	-42289.7	-20810.7
104	4.69474e+30	-5.38345e+16	1.25252e+17	47670.7	17226.1
105	5.85101e+32	-1.48273e+15	-1.26113e+17	-63022.5	1797.59
106	3.01165e+31	-7.51776e+15	-8.63058e+15	-141478	116478
107	3.38908e+32	2.97744e+16	-1.71736e+17	-47771.8	-6724.13
108	1.19266e+33	4.77378e+16	2.71547e+17	40239.1	-7584.57
109	2.06502e+31	-5.83423e+15	-5.99105e+16	-77974.4	17972.1
110	7.17869e+33	2.45064e+16	-1.18092e+16	-73467.9	-99018.2
111	3.87559e+31	-6.49309e+16	-9.22625e+16	-52799.7	25798
112	8.54658e+30	5.13111e+16	-7.39485e+16	-59625.7	-32948.8
