id	mass	x	y	vel_x	vel_y
0	5.95191e+36	9.83981e+16	-1.23754e+17	27413.1	-35920.8
1	6.85915e+31	2.69381e+16	-7.51704e+16	15484.3	23047.4
2	2.21607e+31	-1.8613e+19	-2.84457e+19	-3.08647e+06	-4.70472e+06
3	2.0144e+32	-5.24272e+18	-1.58053e+18	-1.17542e+06	-352655
4	1.23518e+33	1.67609e+17	-1.57301e+17	40156.3	-96598.5
5	7.95267e+33	1.22775e+18	-8.52478e+17	218151	-157198
6	2.2521e+32	1.15858e+17	-2.13872e+17	-5054.71	-39355.7
7	6.26432e+31	-9.32511e+16	-1.1246e+17	6797.04	31350.5
8	7.61939e+32	2.73827e+20	-4.28485e+18	1.14345e+08	-1.77689e+06
9	5.56877e+32	4.37287e+16	-1.30881e+17	-41079.7	-27763.6
10	2.14752e+32	-5.13214e+17	1.07971e+17	-83244.8	34797.4
11	2.3317e+32	1.45474e+17	-9.77597e+16	119145	-53443
12	3.91521e+30	2.8198e+17	-2.88904e+16	72040.6	-61758.2
13	1.69904e+31	-1.26505e+17	1.38296e+17	-38313	-363.623
14	2.44415e+33	-1.32237e+18	3.89093e+18	-619480	1.77609e+06
15	1.58646e+30	-1.12857e+19	4.35733e+18	-2.1046e+06	796952
16	2.52272e+33	-4.94434e+16	-2.49762e+17	-28446.8	25549
17	2.73848e+32	2.47738e+17	-9.50916e+16	59990	-24655.1
18	4.85792e+30	2.36441e+17	1.45164e+17	68949.2	5724.29
19	1.23205e+31	7.5058e+19	-9.5795e+19	4.13514e+07	-5.28179e+07
20	3.0562e+32	-3.60016e+17	1.46067e+17	-72071.2	33451.4
21	6.53674e+32	1.79816e+16	3.00153e+16	35626.9	769.015
22	9.49579e+31	3.27435e+17	3.67301e+17	76176.1	53750.5
23	9.34914e+32	1.34199e+17	-9.13097e+16	65714.7	-132956
24	3.953e+31	1.31897e+17	-4.33415e+17	29266.5	-182098
25	9.27382e+32	4.33946e+16	-1.01094e+17	74735.5	71172
26	1.18569e+33	8.09359e+16	6.09766e+16	27856.7	-32776.4
27	1.30582e+32	-3.42606e+18	4.41384e+17	-577033	80477.3
28	4.39615e+32	-9.0563e+16	2.34958e+15	14083.1	-33431
29	2.93949e+32	7.59903e+16	-1.67629e+17	77270.7	-4118.18
30	1.04425e+32	1.71843e+17	-3.26115e+17	6041.19	-48604.4
31	1.23251e+31	-3.47008e+17	-3.14851e+17	-102632	-80842.9
32	1.46412e+33	6.23594e+16	-1.42406e+17	-37077.5	32822.9
33	1.7343e+33	3.20819e+17	3.98352e+16	79146.5	-15776.9
34	3.10608e+33	8.85021e+17	-1.34303e+18	384783	-578477
35	1.74396e+33	-6.34383e+17	7.03071e+17	-104285	102020
36	1.7344e+30	-2.4216e+18	4.90674e+18	-515585	1.03785e+06
37	1.23592e+32	6.16468e+18	3.67043e+18	1.63183e+06	952747
38	3.52502e+33	1.23532e+17	-1.15095e+17	51907.9	-100061
39	2.27814e+32	1.43616e+17	-1.22734e+17	-31849.9	-14773.1
40	4.85987e+31	4.82984e+17	5.92809e+15	205867	17487.1
41	1.84566e+32	-1.19881e+19	2.41173e+19	-1.29293e+07	2.56237e+07
42	7.20079e+32	1.40186e+17	1.73076e+17	47669.8	5066.87
43	5.02833e+31	-8.3011e+16	2.78822e+17	1871.53	82245.3
44	3.74687e+31	1.16125e+17	3.86364e+17	51350.4	79189.2
45	1.92109e+32	7.75526e+17	-2.31037e+17	135873	-62975.1
46	8.05009e+32	-6.05021e+18	-4.10049e+18	-2.29942e+06	-1.58308e+06
47	7.65994e+30	-1.34899e+18	-9.98347e+16	-247260	-21286.9
48	5.09998e+32	1.71231e+17	-2.57413e+15	75672.5	-17604.9
49	6.23815e+32	-5.12278e+17	-5.40259e+17	-120128	-120997
50	1.42418e+33	1.9993e+17	2.81968e+17	63330.5	81797.6
51	4.64619e+32	2.02251e+18	-2.84337e+18	378456	-539965
52	4.9548e+31	-5.19554e+16	1.54005e+17	44891.7	21306.2
53	1.57755e+33	-1.61959e+17	9.66371e+16	-15611.9	42090.1
54	1.12643e+33	1.46437e+17	-9.44348e+16	86255.4	-98304.9
55	1.58633e+31	-9.63999e+15	3.09019e+16	40309	28318.4
56	2.28915e+32	3.87007e+15	1.88887e+17	25440.3	38435.5
57	2.08638e+31	1.63286e+17	-3.79809e+15	76442.2	-17132.5
58	2.10803e+31	-1.82426e+17	1.14162e+17	-1721.61	16841.7
59	3.00503e+30	-3.50721e+16	9.50872e+17	-5332.91	152079
60	7.02615e+32	9.75479e+17	6.92636e+17	178673	119873
