id	mass	x	y	vel_x	vel_y
0	5.95191e+36	1.15768e+17	-1.4459e+17	33454.4	-31985.9
1	6.85915e+31	4.31311e+16	-6.6415e+16	36488.2	6662.92
2	2.21607e+31	-2.04649e+19	-3.12684e+19	-3.08647e+06	-4.70472e+06
3	2.0144e+32	-5.94796e+18	-1.79212e+18	-1.17542e+06	-352652
4	1.23518e+33	1.8237e+17	-2.09782e+17	12070	-76395.4
5	7.95267e+33	1.3586e+18	-9.4677e+17	218005	-157112
6	2.2521e+32	1.12151e+17	-2.2799e+17	-6230.86	-6386.37
7	6.26432e+31	-8.70023e+16	-9.38875e+16	13780.6	30478.8
8	7.61939e+32	3.42434e+20	-5.35099e+18	1.14345e+08	-1.77689e+06
9	5.56877e+32	3.75059e+16	-1.4582e+17	14184.1	-23570.6
10	2.14752e+32	-5.62946e+17	1.28773e+17	-82553.2	34545.6
11	2.3317e+32	1.97508e+17	-1.37003e+17	60717.1	-71919.1
12	3.91521e+30	3.21641e+17	-6.56412e+16	60186.7	-59398.4
13	1.69904e+31	-1.48749e+17	1.37356e+17	-35607.8	-2750.59
14	2.44415e+33	-1.69407e+18	4.95659e+18	-619475	1.77608e+06
15	1.58646e+30	-1.25484e+19	4.8355e+18	-2.1046e+06	796952
16	2.52272e+33	-6.48679e+16	-2.33124e+17	-22858.3	29640.3
17	2.73848e+32	2.81002e+17	-1.09087e+17	54032.5	-22337.1
18	4.85792e+30	2.77222e+17	1.47578e+17	66862.8	2066.17
19	1.23205e+31	9.98689e+19	-1.27487e+20	4.13514e+07	-5.28179e+07
20	3.0562e+32	-4.02951e+17	1.6599e+17	-71086.8	32979.3
21	6.53674e+32	4.03696e+16	2.8973e+16	40550.8	-5038.14
22	9.49579e+31	3.72975e+17	3.99247e+17	75644.5	52765.6
23	9.34914e+32	1.33778e+17	-1.77503e+17	-74400.4	-110740
24	3.953e+31	1.494e+17	-5.41923e+17	29103.4	-179778
25	9.27382e+32	1.02937e+17	-7.24665e+16	113532	21613.9
26	1.18569e+33	9.79953e+16	3.93132e+16	28959.6	-39300
27	1.30582e+32	-3.77226e+18	4.89672e+17	-576982	80483
28	4.39615e+32	-8.0657e+16	-1.8569e+16	18977.8	-36386.6
29	2.93949e+32	8.93847e+16	-1.48915e+17	-70811.3	-119074
30	1.04425e+32	1.7495e+17	-3.53569e+17	4364.66	-42896.1
31	1.23251e+31	-4.08248e+17	-3.63206e+17	-101552	-80365.1
32	1.46412e+33	7.77239e+16	-1.18145e+17	84655.8	27924
33	1.7343e+33	3.67304e+17	2.95171e+16	75988	-18298.6
34	3.10608e+33	1.11587e+18	-1.69008e+18	384719	-578373
35	1.74396e+33	-6.96897e+17	7.64221e+17	-104100	101820
36	1.7344e+30	-2.73096e+18	5.52945e+18	-515580	1.03785e+06
37	1.23592e+32	7.14379e+18	4.24208e+18	1.63183e+06	952744
38	3.52502e+33	1.43459e+17	-1.37695e+17	82109.8	-102701
39	2.27814e+32	1.33232e+17	-1.53811e+17	44552.4	50943.9
40	4.85987e+31	6.06041e+17	1.63087e+16	204468	17157.6
41	1.84566e+32	-1.97458e+19	3.94914e+19	-1.29293e+07	2.56237e+07
42	7.20079e+32	1.65212e+17	1.76506e+17	38410.9	-3451.98
43	5.02833e+31	-8.16377e+16	3.27639e+17	2640.74	80556.2
44	3.74687e+31	1.4691e+17	4.33454e+17	51264.2	77834.6
45	1.92109e+32	8.56877e+17	-2.68788e+17	135322	-62863.3
46	8.05009e+32	-7.42985e+18	-5.05035e+18	-2.29942e+06	-1.58308e+06
47	7.65994e+30	-1.49731e+18	-1.12606e+17	-247109	-21283.2
48	5.09998e+32	2.14731e+17	-1.6172e+16	69740.8	-27943.9
49	6.23815e+32	-5.85041e+17	-6.12406e+17	-121300	-120059
50	1.42418e+33	2.37628e+17	3.30583e+17	62377.2	80142.6
51	4.64619e+32	2.24958e+18	-3.16734e+18	378440	-539942
52	4.9548e+31	-2.50214e+16	1.6574e+17	44883.6	18010.4
53	1.57755e+33	-1.70672e+17	1.21499e+17	-13599.3	40889.3
54	1.12643e+33	1.71706e+17	-1.56136e+17	499.041	-98723.8
55	1.58633e+31	1.57482e+16	4.62905e+16	44137.5	23094
56	2.28915e+32	1.76223e+16	2.12501e+17	22522	39044.9
57	2.08638e+31	2.04853e+17	-1.49455e+16	65207.2	-22606.6
58	2.10803e+31	-1.83444e+17	1.24228e+17	-1203.72	17378.1
59	3.00503e+30	-3.82606e+16	1.04203e+18	-5296.07	151800
60	7.02615e+32	1.08263e+18	7.6452e+17	178498	119744
61	1.76775e+31	4.58625e+16	-1.22275e+17	-21580.7	33404.4
62	1.5941e+31	-4.51995e+15	-1.61556e+17	-51034.8	-68335.2
63	8.84274e+30	2.19786e+17	1.20327e+17	96690.3	2875.69
64	2.86129e+31	-3.90036e+19	-3.73126e+19	-9.44338e+06	-9.03386e+06
65	3.50064e+33	4.06923e+16	1.79725e+17	45769.2	44224
66	3.15932e+31	3.3939e+17	3.32848e+17	60031.9	32247.9
67	9.41769e+31	1.92945e+17	1.09786e+16	64153.3	1783.69
68	2.4283e+33	-4.33832e+16	5.47395e+18	-3126.81	968637
69	9.49008e+30	8.15177e+16	8.24488e+17	16067.1	116130
70	4.351e+32	1.49349e+17	-9.08403e+16	54204.4	-111795
71	1.79175e+33	4.5611e+17	4.17058e+17	73635.4	58453.5
72	6.19992e+33	-5.4817e+18	4.93271e+18	-939518	835716
73	2.16955e+31	3.42617e+16	8.03198e+16	47116.2	-17084.4
74	2.22198e+32	-3.73576e+19	-4.40231e+19	-1.33888e+07	-1.57432e+07
75	1.45469e+32	-1.99063e+17	2.01987e+17	-29214.7	49660.3
76	1.25596e+32	1.92525e+21	1.30733e+21	7.49283e+08	5.08835e+08
77	5.49904e+31	-3.86724e+17	-2.47307e+17	-68261.4	-53414.9
78	1.05412e+32	-1.55834e+18	5.4528e+18	-254233	885976
79	4.64679e+33	1.11168e+17	-1.43257e+17	233440	-380473
80	6.11352e+33	2.60787e+17	7.76697e+16	62178.7	51585.2
81	1.69755e+31	4.53e+17	-4.41897e+16	131583	-47562.2
82	3.54181e+32	-6.14337e+17	-1.38473e+17	-92827.9	-12003.1
83	9.97393e+30	1.26142e+17	-1.2488e+17	-30520.1	-116058
84	7.27506e+30	2.81888e+17	2.70478e+17	129540	84078.2
85	2.96659e+32	-2.41171e+17	-1.20117e+17	-16339.2	-568.988
86	1.01684e+32	-1.64993e+17	-3.98425e+17	-30428.7	-41067.1
87	1.92551e+33	2.8502e+17	-1.40306e+17	35486.9	-62583.9
88	2.47278e+31	4.86023e+20	-5.23569e+19	3.71525e+08	-3.9953e+07
89	7.41683e+30	-8.72004e+16	2.36752e+17	19057	73496
90	1.48321e+32	-2.25393e+18	-2.68327e+18	-344014	-408773
91	1.35913e+31	1.31869e+17	1.78132e+17	43999	-33658.4
92	2.90899e+31	3.01216e+17	-3.56369e+17	53248.9	-105758
93	8.28596e+30	-1.02343e+17	-2.35194e+17	-3524.08	-1753.96
94	3.71461e+33	-5.11801e+16	1.67712e+16	13318.9	9928.22
95	2.81143e+33	7.81922e+16	-1.1661e+17	20153	60658
96	4.52652e+33	1.7546e+17	-2.52417e+17	57553.2	-36240.9
97	5.06615e+32	5.15431e+17	-1.36489e+18	88115.4	-249846
98	1.60777e+32	1.03736e+19	4.35712e+18	1.81394e+06	761069
99	4.27622e+31	1.00341e+17	1.92772e+17	47732	27339.2
100	5.21201e+33	1.92567e+18	-1.16114e+17	305566	-28636.4
101	2.61283e+31	2.02331e+17	-2.73126e+17	22537.1	-25781.3
102	1.5527e+31	2.72771e+17	2.92424e+17	96771.7	65089.4
103	2.47156e+32	3.16785e+17	-5.23067e+17	541193	-598279
104	4.69474e+30	1.80072e+17	-1.35243e+17	10537.3	-66771.4
105	5.85101e+32	1.726e+17	1.72977e+17	70751.5	26522.3
106	3.01165e+31	1.58271e+18	-1.19755e+18	248551	-190599
107	3.38908e+32	-1.15588e+17	7.37508e+16	6947.92	47088.1
108	1.19266e+33	2.38694e+17	6.61726e+16	17862.7	-56222.3
109	2.06502e+31	1.93933e+17	-8.47321e+16	-8319.59	-91402.4
110	7.17869e+33	3.38923e+18	-2.83183e+18	854125	-719448
111	3.87559e+31	1.23673e+17	-1.67163e+17	-128115	24711.8
112	8.54658e+30	6.14178e+16	1.84828e+17	35767.5	36257.8
113	7.6904e+32	2.67643e+17	-2.89156e+16	27444.2	-47577.1
114	4.88606e+33	1.40678e+17	2.68743e+17	34329.4	13961
115	3.12169e+33	8.82534e+16	2.32071e+17	43187.5	14539
116	1.27892e+33	1.63517e+17	-1.72494e+17	53770.4	-36812.8
117	2.1848e+32	-5.46643e+16	1.2436e+17	24458	40222.4
118	1.75082e+33	-3.47942e+15	1.58121e+16	15014.8	13678.3
119	4.32259e+31	-3.58076e+18	5.75834e+18	-543595	883969
120	4.90983e+32	3.26722e+17	-4.13418e+17	74892.6	-64381.6
121	1.97982e+31	2.1172e+17	-5.73214e+16	30638.4	-41282.2
122	1.0594e+31	1.54692e+17	-1.01095e+17	73296.6	-65776.5
123	7.24311e+30	1.24907e+17	2.03457e+17	38958.3	1108.24
124	1.21024e+32	8.85451e+16	6.06666e+16	42439.6	14697.1
125	1.35367e+31	-3.56355e+17	-2.84903e+17	-50045.8	-27976.7
126	3.39315e+31	-2.23945e+17	-3.74229e+17	-68448.1	-70437.3
127	4.73069e+31	1.52241e+17	-1.64387e+17	20941.7	-47427.1
128	1.29266e+32	-1.73621e+17	1.48732e+17	-23237.5	50432
129	7.37305e+31	7.07776e+17	1.00421e+15	124080	-16628.3
130	4.87213e+31	1.14829e+17	-1.41436e+17	75990.8	-429525
131	1.94848e+33	-1.25727e+19	1.18224e+19	-3.16472e+06	2.97094e+06
132	7.20312e+32	-2.42379e+17	-2.04906e+17	-44127.1	-14222.2
133	3.24119e+32	2.08853e+17	-1.57158e+17	80042.3	-24548.5
134	1.91854e+32	9.93966e+16	2.19552e+17	43478.4	12664.4
135	2.01309e+31	3.6654e+17	9.90649e+17	56287.2	147466
136	4.55204e+30	-5.68955e+17	-1.40949e+18	-99795.5	-333882
137	3.23162e+31	4.27239e+17	1.6929e+17	70222	9299.84
138	9.80499e+30	-1.78601e+16	-5.81119e+18	3436.32	-998955
139	3.02505e+31	9.89082e+18	1.00869e+18	1.49041e+06	146073
140	9.51715e+31	1.09772e+17	-2.76793e+17	-23198.9	-93628.7
141	2.29078e+31	4.84067e+18	8.30285e+17	999509	164514
142	1.50838e+33	1.20627e+17	5.58867e+16	47431.2	545.494
143	1.10193e+33	-1.88354e+16	-4.01579e+18	-4690.2	-792501
144	4.28584e+31	-1.26677e+20	5.91309e+19	-2.57942e+07	1.2041e+07
145	1.09662e+32	4.08563e+16	4.5955e+17	20393.7	61450.6
146	1.65842e+33	1.95417e+17	-1.21003e+17	4595.52	-106272
147	2.21342e+31	1.82263e+17	4.88926e+17	45597.7	85037.9
148	1.6693e+32	-3.18769e+16	-3.24669e+17	-15307	-35876.9
149	2.88464e+33	9.16559e+16	-1.03779e+17	77265.1	702.631
150	1.48909e+33	1.07599e+17	-1.51081e+17	-193571	85479.6
151	1.11033e+33	-7.419e+16	1.21567e+17	35972.3	43300.4
152	9.91191e+30	1.30317e+17	-1.20666e+17	170844	5346.27
153	8.80012e+32	-3.93785e+18	-2.88249e+18	-615912	-444916
154	2.65845e+31	1.46039e+17	-5.03265e+16	42300.9	-70284
155	4.45609e+31	7.30422e+17	-1.59499e+18	118851	-276484
156	7.23074e+31	-8.83588e+17	1.69551e+17	-133193	28108
157	1.223e+31	-1.67856e+17	-8.72746e+17	-29237.9	-146476
158	1.10727e+32	1.93485e+17	-3.05324e+16	-4700.17	-49322.3
159	3.33996e+31	8.80179e+18	-7.16275e+18	1.58839e+06	-1.29141e+06
160	2.31552e+33	2.51159e+17	-3.3803e+18	42601.9	-537237
161	2.33361e+30	-1.02132e+17	1.5155e+17	29618.1	37910.2
162	8.9511e+31	-2.09554e+17	6.26806e+16	-11501.3	27744.3
163	7.60193e+30	2.29855e+18	1.87995e+18	878435	755982
164	4.43022e+32	1.89653e+18	1.11346e+18	344592	201550
165	4.07357e+32	2.14843e+17	1.22031e+17	67228.4	15177.2
166	2.92911e+31	6.3474e+17	2.35081e+18	97051.1	347591
167	3.41567e+32	9.63285e+16	-1.30578e+17	-20174.5	68040
168	7.74904e+31	2.24308e+17	-1.12437e+18	29694.8	-183626
169	6.6821e+31	6.86396e+16	-2.03091e+17	-59517.3	-10275.9
170	4.96948e+30	-7.21798e+17	5.32494e+17	-139536	90103.7
171	4.52176e+31	1.91195e+17	-1.22465e+17	-13221.8	-77733.1
172	4.67359e+32	1.05027e+17	1.70658e+17	39562.6	22276.9
173	4.99127e+32	1.76813e+17	-1.48905e+17	129359	-4790.74
174	2.75706e+32	-5.89966e+16	-1.67525e+17	-20056.1	-13171.8
