id	mass	x	y	vel_x	vel_y
0	5.95191e+36	1.19793e+17	-1.51553e+17	14206.1	-36135.2
1	6.85915e+31	5.09321e+16	-6.55908e+16	41388.5	1530.13
2	2.21607e+31	-2.10822e+19	-3.22093e+19	-3.08647e+06	-4.70472e+06
3	2.0144e+32	-6.18304e+18	-1.86265e+18	-1.17542e+06	-352651
4	1.23518e+33	1.84129e+17	-2.24305e+17	5692.44	-68871.3
5	7.95267e+33	1.4022e+18	-9.78189e+17	217964	-157083
6	2.2521e+32	1.11032e+17	-2.27908e+17	-5565.66	7992.17
7	6.26432e+31	-8.40416e+16	-8.783e+16	15813	30081.3
8	7.61939e+32	3.65303e+20	-5.70637e+18	1.14345e+08	-1.77689e+06
9	5.56877e+32	4.17502e+16	-1.50506e+17	28164.7	-23363.2
10	2.14752e+32	-5.79437e+17	1.35674e+17	-82356.2	34468
11	2.3317e+32	2.08214e+17	-1.51356e+17	46808.1	-71538.1
12	3.91521e+30	3.33475e+17	-7.72843e+16	58424.4	-57380.7
13	1.69904e+31	-1.55717e+17	1.36739e+17	-34121.6	-3204.68
14	2.44415e+33	-1.81796e+18	5.31181e+18	-619474	1.77608e+06
15	1.58646e+30	-1.29693e+19	4.99489e+18	-2.1046e+06	796952
16	2.52272e+33	-6.92457e+16	-2.27095e+17	-20914.3	30621.9
17	2.73848e+32	2.91473e+17	-1.13585e+17	50771.2	-22253.2
18	4.85792e+30	2.90522e+17	1.47901e+17	66158.6	1176.08
19	1.23205e+31	1.08139e+20	-1.38051e+20	4.13514e+07	-5.28179e+07
20	3.0562e+32	-4.1714e+17	1.72572e+17	-70807.8	32844.5
21	6.53674e+32	4.86024e+16	2.78457e+16	41621	-6460.15
22	9.49579e+31	3.88089e+17	4.09771e+17	75493.2	52478.6
23	9.34914e+32	1.16078e+17	-1.92383e+17	-93048.3	-44093.2
24	3.953e+31	1.55218e+17	-5.77821e+17	29074.5	-179210
25	9.27382e+32	1.25839e+17	-6.96424e+16	114740	7249.83
26	1.18569e+33	1.03832e+17	3.12294e+16	29406.5	-41565.5
27	1.30582e+32	-3.88765e+18	5.05769e+17	-576965	80484.9
28	4.39615e+32	-7.67261e+16	-2.59461e+16	20215.7	-37360.3
29	2.93949e+32	8.15806e+16	-1.70272e+17	-11235	-96082.2
30	1.04425e+32	1.75772e+17	-3.61958e+17	3864.69	-40995.7
31	1.23251e+31	-4.28529e+17	-3.79266e+17	-101261	-80238.8
32	1.46412e+33	9.75309e+16	-1.14908e+17	112888	441.313
33	1.7343e+33	3.82401e+17	2.57988e+16	74991.9	-18876.7
34	3.10608e+33	1.19281e+18	-1.80575e+18	384702	-578348
35	1.74396e+33	-7.17712e+17	7.84579e+17	-104046	101762
36	1.7344e+30	-2.83408e+18	5.73702e+18	-515579	1.03785e+06
