id	mass	x	y	vel_x	vel_y
0	5.95191e+36	1.06733e+14	1.42309e+14	642.797	560.173
1	6.85915e+31	3.787e+16	7.51687e+16	55050.1	-45124.1
2	2.21607e+31	-1.94606e+18	-3.04104e+18	-3.08647e+06	-4.70473e+06
3	2.0144e+32	8.79744e+15	2.15857e+16	120958	-22638.3
4	1.23518e+33	-9.08994e+15	-1.09474e+16	-117744	121121
5	7.95267e+33	3.49576e+16	2.94845e+15	237964	-141630
6	2.2521e+32	-9.35556e+15	7.88691e+15	136193	133924
7	6.26432e+31	1.03573e+17	-1.98335e+17	-38445.7	-16801.8
8	7.61939e+32	1.31143e+16	-1.75584e+16	-130440	-99503.6
9	5.56877e+32	4.42715e+15	1.80986e+16	123661	12761.6
10	2.14752e+32	1.62175e+16	-4.15822e+16	-122802	-84778.8
11	2.3317e+32	-8.20508e+16	-4.88495e+15	27970.1	80394
12	3.91521e+30	-4.8119e+15	-7.30606e+15	-154870	90288.9
13	1.69904e+31	-2.26362e+15	-1.33727e+17	-59560.6	7434.29
14	2.44415e+33	-5.32846e+15	8.00638e+15	187248	113799
15	1.58646e+30	7.35205e+16	5.56759e+16	30660	-13912.5
16	2.52272e+33	1.47928e+17	-2.59798e+17	-33137.9	-17164.4
17	2.73848e+32	1.47296e+17	1.05384e+17	21096.3	-37060.6
18	4.85792e+30	3.04627e+14	-4.12835e+16	-118637	-61138.5
19	1.23205e+31	8.97594e+16	1.51199e+17	37549.8	-27788.2
20	3.0562e+32	-4.75806e+14	-1.96428e+15	-507239	164827
21	6.53674e+32	3.46912e+16	-5.23074e+15	13816.8	-105659
22	9.49579e+31	-2.95386e+16	-4.80593e+16	-46202.8	34927.3
23	9.34914e+32	-2.12982e+16	2.3116e+16	95254.5	69575.7
24	3.953e+31	-2.39288e+16	3.6989e+14	-31322.6	138894
25	9.27382e+32	1.28976e+17	-2.01798e+17	-33936.3	-18079.7
26	1.18569e+33	-4.21261e+15	2.19222e+16	165982	-52.448
27	1.30582e+32	-3.07212e+17	6.65392e+15	-580111	80658.7
28	4.39615e+32	-1.39264e+17	6.59175e+16	26714	46745
29	2.93949e+32	-1.08879e+16	-3.38417e+16	103054	94336.6
30	1.04425e+32	-3.46917e+16	9.69428e+15	25890.6	106660
31	1.23251e+31	-2.02217e+16	-4.53712e+16	-77136.8	40349.4
32	1.46412e+33	6.28722e+15	3.4414e+15	120072	-205315
33	1.7343e+33	2.77146e+16	1.52659e+16	133380	-70900.5
34	3.10608e+33	-2.90023e+16	-1.20476e+17	-53491.2	20995.6
35	1.74396e+33	-5.69111e+16	1.33479e+17	-116149	119820
36	1.7344e+30	-3.63699e+15	3.82888e+16	117789	-32410.7
37	1.23592e+32	2.73294e+16	-1.90697e+16	-44912.6	-90738.1
38	3.52502e+33	4.78381e+15	-1.50682e+16	-109139	-44221.1
39	2.27814e+32	-2.26567e+15	4.34705e+15	267266	212743
40	4.85987e+31	2.40878e+16	-1.12086e+16	-102936	-12910.7
41	1.84566e+32	-2.54576e+16	-1.23257e+17	-55725.8	22740.6
42	7.20079e+32	-2.53177e+16	-8.74245e+16	-57844.5	36746.7
43	5.02833e+31	2.57461e+16	-1.052e+17	-57159	-15491.1
44	3.74687e+31	1.78131e+16	-7.82452e+16	-77430.5	-5828.09
45	1.92109e+32	3.25727e+16	1.03728e+17	78690.5	-29216.6
46	8.05009e+32	-5.2123e+16	1.17716e+16	-574.144	71916.7
47	7.65994e+30	-1.1784e+16	3.61035e+14	-78899.6	182923
48	5.09998e+32	-1.6302e+16	8.9733e+16	85332.3	2932.59
49	6.23815e+32	4.80362e+16	2.74247e+16	23548.6	-85591.8
50	1.42418e+33	3.31241e+16	-5.82264e+15	12289.9	-110297
51	4.64619e+32	-1.63695e+15	2.38842e+16	143954	9656.74
52	4.9548e+31	-1.87294e+17	-5.45415e+16	-10887.3	46698.3
53	1.57755e+33	-1.95571e+13	7.78247e+16	63410	-20696.1
54	1.12643e+33	-5.30056e+16	-1.67169e+16	8737.77	92329.6
55	1.58633e+31	-7.28108e+15	-2.50816e+16	-115677	-41127.2
56	2.28915e+32	2.57897e+16	4.85486e+16	81067.5	-39556
57	2.08638e+31	1.46678e+17	5.14672e+16	12279.7	-48596.8
58	2.10803e+31	7.32058e+15	-3.85729e+16	-132803	-49758.8
59	3.00503e+30	-3.74579e+15	1.01611e+17	-8052.66	182184
60	7.02615e+32	-6.30109e+15	1.47338e+16	92963.1	269782
61	1.76775e+31	-6.34424e+16	1.46327e+17	49897.3	17631.8
62	1.5941e+31	-1.00133e+17	-2.00953e+17	-38856	21946.4
63	8.84274e+30	-1.44302e+17	-6.81229e+16	-14816.4	45224.2
64	2.86129e+31	8.26052e+15	-2.39373e+15	16821.1	-227173
65	3.50064e+33	-1.31769e+15	-1.87992e+16	-130865	19799
66	3.15932e+31	-5.48409e+16	1.32006e+16	38758.2	92398.9
67	9.41769e+31	1.53017e+17	4.21967e+16	9138	-49633.3
68	2.4283e+33	4.7083e+15	-4.02361e+16	-108628	16130.9
69	9.49008e+30	-1.44834e+16	8.35484e+16	12641.7	160022
70	4.351e+32	2.97123e+16	4.27054e+16	39391.3	-56976.3
71	1.79175e+33	-8.5572e+14	-2.19782e+16	-172367	32226.7
72	6.19992e+33	1.65379e+16	4.54113e+16	76990.3	-56892.5
73	2.16955e+31	-6.67948e+16	1.15376e+15	-76396	62915.2
74	2.22198e+32	2.29336e+16	-2.43711e+16	-87861.4	-104518
75	1.45469e+32	7.5182e+16	6.65213e+16	31507.2	-54589.7
76	1.25596e+32	6.07865e+15	-5.29711e+16	-96797.2	4745.17
77	5.49904e+31	1.8542e+16	-1.98499e+15	5007.92	-174996
78	1.05412e+32	-3.28898e+16	1.34913e+17	-255153	890517
79	4.64679e+33	-2.13855e+16	-1.51253e+16	-140775	105807
80	6.11352e+33	-7.94004e+16	1.11627e+17	47856.1	23379.2
81	1.69755e+31	6.78139e+16	-7.95935e+16	-52274.6	-29517.3
82	3.54181e+32	3.15104e+16	-2.53068e+16	-89757.3	-58099
83	9.97393e+30	1.3624e+15	1.30692e+16	250940	-139788
84	7.27506e+30	-4.34392e+16	1.33883e+16	39667.1	106864
85	2.96659e+32	3.14159e+16	-1.49427e+16	-11281.6	-120632
86	1.01684e+32	4.33918e+16	-1.04538e+16	16566.7	-157502
87	1.92551e+33	3.1124e+16	4.35035e+16	67985.4	-66007.9
88	2.47278e+31	7.92991e+15	4.09373e+15	127758	-88724
89	7.41683e+30	2.59336e+16	-1.41928e+17	-55517	1937.61
90	1.48321e+32	-1.87812e+17	-2.28233e+17	-346243	-411393
91	1.35913e+31	-1.27965e+17	2.17593e+17	37222.8	20948.5
92	2.90899e+31	-3.84292e+16	-3.01846e+16	-29427.6	76938.4
93	8.28596e+30	4.05742e+16	-4.20513e+16	-13232.2	-122935
