id	mass	x	y	vel_x	vel_y
0	5.95191e+36	2.65805e+15	-3.54287e+15	1606.12	-9938.9
1	6.85915e+31	4.29427e+16	7.57065e+14	-69101.8	-110896
2	2.21607e+31	-5.03251e+18	-7.74575e+18	-3.08647e+06	-4.70472e+06
3	2.0144e+32	-6.96307e+16	-2.86362e+16	-1.19612e+06	-312297
4	1.23518e+33	-1.15672e+16	1.23678e+15	51714.6	166538
5	7.95267e+33	2.62367e+17	-1.5675e+17	222959	-160558
6	2.2521e+32	2.41592e+15	-5.30962e+15	-463690	-311197
7	6.26432e+31	6.25583e+16	-2.09693e+17	-43148.7	-5616.81
8	7.61939e+32	7.58942e+15	5.63141e+16	80532.9	34339.3
9	5.56877e+32	2.13348e+15	-8.66428e+14	254458	-370270
10	2.14752e+32	-1.10348e+17	-4.92671e+16	-117068	31182.8
11	2.3317e+32	-1.38395e+16	6.30505e+16	94876.6	23674.4
12	3.91521e+30	1.70868e+16	4.08432e+16	47282.3	-1932.11
13	1.69904e+31	-6.29039e+16	-1.09072e+17	-58563.6	42341.8
14	2.44415e+33	-5.24002e+15	5.71782e+15	40116.9	96100.2
15	1.58646e+30	-2.02548e+18	8.50745e+17	-2.10467e+06	796981
16	2.52272e+33	1.13163e+17	-2.73999e+17	-36230.5	-11147.3
17	2.73848e+32	1.60146e+17	6.36062e+16	6106.7	-50496.5
18	4.85792e+30	-5.88163e+16	-2.72301e+16	-7098.3	36413.9
19	1.23205e+31	1.21023e+17	1.15731e+17	24271.2	-42749.9
20	3.0562e+32	-3.3902e+15	2.74195e+16	72499.6	345.37
21	6.53674e+32	-1.61222e+16	1.45581e+16	86214.2	112700
22	9.49579e+31	-1.91647e+16	7.44129e+16	69115.3	115192
23	9.34914e+32	3.02366e+16	-2.46413e+16	-78824.7	-95608
24	3.953e+31	-3.01726e+16	-1.96764e+16	-41029.8	40241.4
25	9.27382e+32	9.23632e+16	-2.1527e+17	-39078.6	-8648.81
26	1.18569e+33	-3.59846e+16	-1.58231e+16	-53204.5	128057
27	1.30582e+32	-8.85869e+17	8.72843e+16	-577948	80599.1
28	4.39615e+32	-1.06319e+17	1.03372e+17	-16755.6	-176.948
29	2.93949e+32	-7.46457e+16	-7.94252e+15	-19116.3	-53842.4
30	1.04425e+32	7.01433e+16	-1.00594e+16	85872.3	-83432.6
31	1.23251e+31	-3.76433e+16	2.41728e+16	59336.6	70510.7
32	1.46412e+33	-3.56668e+14	-1.02633e+16	-84322.5	153510
33	1.7343e+33	5.5628e+16	-5.15474e+16	-32989.7	-37202.5
34	3.10608e+33	-7.46012e+16	-7.78165e+16	-35245.6	63615.2
35	1.74396e+33	-1.6897e+17	2.46117e+17	-109160	108446
36	1.7344e+30	-1.52681e+17	3.39512e+17	-516145	1.03897e+06
37	1.23592e+32	-6.20105e+16	-1.09497e+16	-34995	60742.8
38	3.52502e+33	2.94522e+16	-1.87313e+15	11123.4	-117865
39	2.27814e+32	2.63092e+15	5.8054e+14	341644	155781
40	4.85987e+31	5.22251e+16	-2.73104e+16	-27377.9	-45003.5
41	1.84566e+32	-7.33384e+16	-7.99676e+16	-18649.9	27630.8
42	7.20079e+32	-6.87092e+16	-1.73802e+16	-7581.89	88117.8
43	5.02833e+31	-3.46971e+16	-8.8179e+16	-39222.9	49513.3
44	3.74687e+31	-5.79058e+16	-3.80178e+16	-61025.7	81747.9
45	1.92109e+32	1.52568e+17	4.92617e+16	157725	-62867.5
46	8.05009e+32	9.22827e+15	4.82537e+16	89965.3	-29180.2
47	7.65994e+30	-2.53675e+17	-5.77121e+15	-254413	-21770.5
48	5.09998e+32	6.36843e+16	5.82679e+16	64301.7	-60613.5
49	6.23815e+32	-1.48333e+16	-2.334e+16	-49006.6	43944.5
50	1.42418e+33	-2.28101e+16	1.41646e+15	61168.4	129846
51	4.64619e+32	3.56567e+17	-4.66436e+17	379202	-541000
52	4.9548e+31	-1.90511e+17	-6.63137e+15	4589.79	48338.1
53	1.57755e+33	4.53492e+16	2.66074e+15	-21350.2	-120323
54	1.12643e+33	4.64264e+16	6.27501e+15	69517.1	-87721.7
55	1.58633e+31	2.07363e+16	-1.69704e+16	-28314.5	-181152
56	2.28915e+32	3.53253e+16	-3.41409e+16	-78831.2	-65430
57	2.08638e+31	1.46886e+17	7.43741e+14	-12563.3	-51290.2
58	2.10803e+31	-9.5526e+16	-4.5463e+15	-62512.4	54848.9
59	3.00503e+30	-1.04695e+16	2.70175e+17	-6013.78	161336
60	7.02615e+32	1.81722e+17	1.58827e+17	185511	125569
61	1.76775e+31	-1.01481e+16	1.53109e+17	56388.4	-3617.14
62	1.5941e+31	-1.15053e+17	-1.87219e+17	41722.6	-13832
63	8.84274e+30	-1.47371e+17	-2.022e+16	9384.75	49018.8
64	2.86129e+31	2.05308e+16	-1.95952e+16	-97088.6	-46718.2
65	3.50064e+33	7.19389e+15	7.9115e+15	204085	74692.9
66	3.15932e+31	1.29511e+16	1.09305e+17	73486.1	81524.8
67	9.41769e+31	1.50793e+17	-8.90669e+15	-14203.9	-51282.6
68	2.4283e+33	-2.77351e+16	6.29969e+17	-3140.14	969490
69	9.49008e+30	7.74538e+14	2.24294e+17	16287.8	130463
70	4.351e+32	-3.41916e+16	1.75567e+16	-35306	68584.7
71	1.79175e+33	6.19514e+16	8.56213e+16	94080.5	91559.4
72	6.19992e+33	-7.83331e+17	7.54549e+17	-940074	835790
73	2.16955e+31	-1.05815e+17	5.32164e+16	-14671.8	42541.5
74	2.22198e+32	7.27895e+15	-7.52488e+15	136121	-255698
75	1.45469e+32	7.76932e+16	-3.5181e+15	-37014.1	-78709.4
76	1.25596e+32	-4.48351e+16	2.2975e+16	33327.6	75326
77	5.49904e+31	-5.23186e+16	-2.72722e+16	-27106.9	52498
78	1.05412e+32	-2.8701e+17	1.02233e+18	-253889	886624
79	4.64679e+33	-3.34859e+16	7.31926e+16	43843.7	49130.9
80	6.11352e+33	-2.23559e+16	1.21952e+17	62481.6	-4851.78
81	1.69755e+31	3.46795e+15	-8.44417e+16	-71331.4	26755.3
82	3.54181e+32	-1.14742e+17	-6.40288e+16	-120586	-27346.3
83	9.97393e+30	1.28306e+16	-1.57934e+16	-175875	-38940.6
84	7.27506e+30	3.77032e+16	3.63452e+16	65940.9	-57593.6
85	2.96659e+32	-6.25698e+16	-8.27705e+16	-84379.4	-30038.7
86	1.01684e+32	1.70033e+16	-1.26258e+17	-38744.5	-86919.5
87	1.92551e+33	9.68511e+15	-3.96541e+16	-88441.2	3484.86
88	2.47278e+31	3.27134e+15	-3.83232e+15	-1145.86	-936320
89	7.41683e+30	-3.26697e+16	-1.29732e+17	-53746	28456.1
90	1.48321e+32	-5.32985e+17	-6.38371e+17	-344643	-409525
91	1.35913e+31	-9.23051e+16	2.3164e+17	36784.7	9711.66
92	2.90899e+31	3.04411e+16	5.108e+16	76202	8133.17
93	8.28596e+30	8.76483e+15	-1.27878e+17	-35415	-60606
94	3.71461e+33	7.39669e+16	3.25255e+16	20578.3	-81660.5
95	2.81143e+33	-7.36043e+16	-4.78467e+16	-16270	73758.2
96	4.52652e+33	-3.33547e+16	5.94245e+16	76162.5	23878.3
97	5.06615e+32	7.06263e+16	-1.02408e+17	92704.8	-265871
98	1.60777e+32	1.30375e+18	5.51707e+17	1.81408e+06	761143
99	4.27622e+31	2.18727e+16	2.76766e+16	66833.4	-33055.2
100	5.21201e+33	3.92311e+17	2.61911e+16	310167	-26964
101	2.61283e+31	-1.05413e+16	3.80213e+16	-90047.4	-62051.8
102	1.5527e+31	-3.47164e+14	-5.10609e+16	-98889.6	-27991.2
103	2.47156e+32	1.44394e+16	-1.68677e+17	-51039	4275.39
104	4.69474e+30	2.33477e+16	1.15581e+17	55698.2	-32246.6
105	5.85101e+32	-6.77081e+16	-7.60559e+16	-25665	55695.3
106	3.01165e+31	3.35985e+17	-2.41395e+17	251551	-192895
107	3.38908e+32	-3.99294e+16	-1.60708e+17	-46309.1	22088.9
108	1.19266e+33	1.04037e+17	2.52123e+17	37467.1	-19076.5
