id	mass	x	y	vel_x	vel_y
0	5.95191e+36	1.00752e+16	-6.16529e+15	22873.1	3097.28
1	6.85915e+31	-2.33182e+16	2.95332e+16	26053	86226
2	2.21607e+31	-7.50167e+18	-1.15095e+19	-3.08647e+06	-4.70472e+06
3	2.0144e+32	-1.01093e+18	-3.10888e+17	-1.17575e+06	-352763
4	1.23518e+33	-1.50741e+16	-1.7668e+15	-28952.5	145007
5	7.95267e+33	4.39558e+17	-2.84424e+17	220471	-158920
6	2.2521e+32	4.74513e+15	-7.61445e+15	-20191.4	293736
7	6.26432e+31	2.69836e+16	-2.10245e+17	-45436.3	4397.35
8	7.61939e+32	6.22211e+16	5.29694e+16	51205.8	-31858.8
9	5.56877e+32	1.46031e+15	-1.28871e+15	137725	-4897.85
10	2.14752e+32	-1.95823e+17	-2.11899e+16	-98837.6	36381.9
11	2.3317e+32	5.61792e+16	4.01603e+16	67893.6	-66661.7
12	3.91521e+30	-6.42841e+14	1.29925e+16	15923.2	168506
13	1.69904e+31	-1.02287e+17	-6.46888e+16	-36879.1	65394.8
14	2.44415e+33	7.56652e+15	-1.36499e+15	197311	165376
15	1.58646e+30	-3.7092e+18	1.48831e+18	-2.10462e+06	796960
16	2.52272e+33	8.33874e+16	-2.80836e+17	-38092	-5911.37
17	2.73848e+32	1.58873e+17	2.11131e+16	-11059.5	-52089.8
18	4.85792e+30	-3.15736e+16	2.76095e+16	69717.7	111763
19	1.23205e+31	1.34939e+17	7.7953e+16	10105.7	-51539.7
20	3.0562e+32	-6.37859e+16	8.88945e+15	-118338	62216.7
21	6.53674e+32	5.08598e+16	-6.01968e+15	10635.4	-104093
22	9.49579e+31	4.40888e+16	1.48282e+17	78431.5	77189.3
23	9.34914e+32	-5.11658e+16	-1.15081e+16	-55106.8	85970.6
24	3.953e+31	-9.08439e+15	-1.0064e+16	103451	48155
25	9.27382e+32	5.97798e+16	-2.18856e+17	-42118	-108.417
26	1.18569e+33	-3.12763e+16	6.93829e+16	25582.6	72306.6
27	1.30582e+32	-1.34803e+18	1.51739e+17	-577511	80473.4
28	4.39615e+32	-1.1419e+17	9.81541e+16	-2972	-12705.3
29	2.93949e+32	-6.50347e+16	-4.47959e+16	45802.9	-33562.7
30	1.04425e+32	1.14648e+17	-8.21898e+16	34899.8	-91296
31	1.23251e+31	3.77732e+16	2.68073e+16	100607	-89166.2
32	1.46412e+33	1.06585e+16	3.83157e+15	161001	-167693
33	1.7343e+33	1.06957e+16	-4.75683e+16	-70275.9	65493.1
34	3.10608e+33	-8.49348e+16	-1.94787e+16	10645	71234.5
35	1.74396e+33	-2.5536e+17	3.31536e+17	-107122	105470
36	1.7344e+30	-5.65361e+17	1.17022e+18	-515723	1.03812e+06
37	1.23592e+32	2.8982e+17	2.40379e+17	1.63246e+06	953209
38	3.52502e+33	6.40277e+15	-2.46014e+16	-92793.1	46457
39	2.27814e+32	1.34807e+16	-4.04007e+15	295653	3952.61
40	4.85987e+31	-2.49306e+15	1.86613e+15	98930.3	184695
41	1.84566e+32	-7.68981e+16	-4.51307e+16	14155.1	56265.9
42	7.20079e+32	-4.42561e+16	6.36881e+16	67355	94714.1
43	5.02833e+31	-7.11814e+16	-4.03609e+16	-22206.9	71788.3
44	3.74687e+31	-6.64717e+16	5.37433e+16	32187.5	126463
45	1.92109e+32	2.73427e+17	-2.10442e+15	146442	-64424.6
46	8.05009e+32	3.41011e+16	-2.0335e+16	-142236	-125948
47	7.65994e+30	-4.55266e+17	-2.30724e+16	-250386	-21416.7
48	5.09998e+32	9.53035e+16	-1.06374e+15	11626.8	-79301.3
49	6.23815e+32	-6.69909e+16	-9.35687e+16	-135269	-134254
50	1.42418e+33	5.06185e+16	-1.95059e+16	10348.4	-61920.5
51	4.64619e+32	6.59718e+17	-8.98957e+17	378769	-540424
52	4.9548e+31	-1.81766e+17	3.06054e+16	17081.2	45469.3
53	1.57755e+33	-2.77369e+16	-5.22375e+16	-103904	8708.5
54	1.12643e+33	6.16519e+16	-6.56949e+16	-14618.6	-74355
55	1.58633e+31	-2.89062e+16	-7.33307e+16	-48452	-13789.8
56	2.28915e+32	-4.21311e+16	-2.09018e+16	-53635	79281.2
57	2.08638e+31	1.28309e+17	-3.99498e+16	-35073.4	-49113.6
58	2.10803e+31	-1.30916e+17	2.93763e+16	-39507.3	32505.1
59	3.00503e+30	-1.51874e+16	3.97304e+17	-5805.27	157055
60	7.02615e+32	3.28457e+17	2.57835e+17	181948	122552
61	1.76775e+31	3.46617e+16	1.42885e+17	54873.6	-22363.2
62	1.5941e+31	-7.94475e+16	-1.94146e+17	47146.6	-2818.52
63	8.84274e+30	-1.31277e+17	1.84595e+16	31378.3	46810.4
64	2.86129e+31	4.09805e+15	3.22201e+15	106340	199611
65	3.50064e+33	-2.78936e+16	-4.48001e+16	-81327	17789.7
66	3.15932e+31	7.09495e+16	1.63043e+17	70772.7	57977.8
67	9.41769e+31	1.3156e+17	-4.88312e+16	-34612.8	-47050.7
68	2.4283e+33	-3.02427e+16	1.40529e+18	-3133.43	968955
69	9.49008e+30	1.38853e+16	3.25819e+17	16319.8	124136
70	4.351e+32	-2.23626e+16	3.303e+16	54044.2	-23696.5
71	1.79175e+33	1.33031e+17	1.50846e+17	84533.3	74351.8
72	6.19992e+33	-1.53531e+18	1.4231e+18	-939909	835621
73	2.16955e+31	-1.08236e+17	8.13071e+16	7261.86	28156.8
74	2.22198e+32	1.43429e+16	-1.54952e+16	-48835.2	11408.7
75	1.45469e+32	1.16165e+16	-4.67513e+16	-118190	11359.8
76	1.25596e+32	-9.6839e+15	6.50431e+16	61728.3	13616.7
77	5.49904e+31	-5.88776e+16	-3.9752e+15	-112586	-73825.7
78	1.05412e+32	-4.90448e+17	1.73139e+18	-254299	886203
79	4.64679e+33	5.00872e+15	9.10415e+16	51892	-1939.04
80	6.11352e+33	2.14586e+16	1.09209e+17	41115.9	-27946.5
81	1.69755e+31	-3.61014e+16	-3.51263e+16	-10928.7	91444.1
82	3.54181e+32	-2.04337e+17	-8.33575e+16	-106635	-20953.9
83	9.97393e+30	1.00314e+16	4.01462e+16	56851.7	92530.4
84	7.27506e+30	5.12647e+16	-2.53556e+16	-46433	-76738.7
85	2.96659e+32	-1.15874e+17	-1.0075e+17	-51509.5	-15780.5
86	1.01684e+32	-1.44846e+16	-1.87102e+17	-38430	-67405
87	1.92551e+33	4.02508e+16	-1.369e+16	41901.1	-103219
88	2.47278e+31	1.06814e+16	-6.30712e+15	110065	-978371
89	7.41683e+30	-7.21453e+16	-9.47678e+16	-43320.3	58024.5
90	1.48321e+32	-8.08573e+17	-9.65836e+17	-344364	-409186
91	1.35913e+31	-6.16669e+16	2.3697e+17	39787.2	3501.2
92	2.90899e+31	7.23148e+16	3.35324e+16	28010.5	-44085.9
93	8.28596e+30	-1.96606e+16	-1.67158e+17	-34593.5	-39263.1
94	3.71461e+33	6.06314e+16	-3.76182e+16	-61852.5	-78702.1
95	2.81143e+33	-6.16385e+16	1.94777e+16	71330.1	98822.9
96	4.52652e+33	1.51958e+16	7.91444e+16	63945.8	-17306
97	5.06615e+32	1.43479e+17	-3.09429e+17	90259.7	-254820
98	1.60777e+32	2.75497e+18	1.1606e+18	1.81398e+06	761098
99	4.27622e+31	1.00369e+16	-3.29806e+16	-130673	-28920.7
100	5.21201e+33	6.39378e+17	3.783e+15	307775	-28372.1
101	2.61283e+31	-1.37449e+16	-4.76161e+16	84305.4	-81156.2
102	1.5527e+31	-5.14701e+16	-2.44157e+16	-21982.2	81133
103	2.47156e+32	-2.64555e+16	-1.59033e+17	-50236.9	20170.3
104	4.69474e+30	6.84506e+16	7.04222e+16	57543.7	-78050.1
105	5.85101e+32	-7.57503e+16	-2.03124e+16	12977.4	79205.4
106	3.01165e+31	5.36577e+17	-3.9523e+17	250152	-191851
107	3.38908e+32	-7.42376e+16	-1.36664e+17	-36992.7	37371.9
108	1.19266e+33	1.32868e+17	2.3457e+17	34659.7	-24782.7
109	2.06502e+31	4.29719e+16	9.67301e+16	73279.8	16345.8
110	7.17869e+33	-1.81334e+16	3.74942e+15	18144.8	122529
111	3.87559e+31	-2.11359e+16	5.09547e+16	91263.7	54626.3
112	8.54658e+30	-7.50484e+16	-2.80602e+16	-13414.3	60876.2
113	7.6904e+32	1.35729e+16	2.16193e+16	156747	98178.5
114	4.88606e+33	-9.27667e+15	1.40474e+17	33748.8	57511.1
115	3.12169e+33	-7.35232e+16	9.07555e+16	20090.1	66232.4
116	1.27892e+33	1.4687e+16	2.36239e+16	153996	18007.7
117	2.1848e+32	-1.0067e+17	-7.1042e+16	-9073.54	50298.9
118	1.75082e+33	1.3994e+17	-4.5512e+16	-35651.3	-43818.6
119	4.32259e+31	-1.29756e+18	2.0455e+18	-543675	884097
120	4.90983e+32	1.2187e+17	-1.09487e+17	25514.3	-87104.6
121	1.97982e+31	2.48109e+16	1.21346e+17	58348.5	-39714.8
122	1.0594e+31	1.15675e+17	1.25788e+17	38551	-44841.2
123	7.24311e+30	-4.06169e+16	1.04332e+17	27579.7	68259.9
124	1.21024e+32	8.51098e+16	-1.00804e+16	-23657.7	-68951.8
125	1.35367e+31	-1.16782e+17	-1.51221e+17	-68910.9	-41808.3
126	3.39315e+31	9.22056e+16	3.2948e+15	49362.4	-59861.5
127	4.73069e+31	-1.18246e+15	8.03008e+15	96142.6	144238
128	1.29266e+32	-1.89478e+15	-6.80379e+16	-80499.2	-1510.44
129	7.37305e+31	1.60333e+17	6.29477e+16	147780	-10999
130	4.87213e+31	6.9874e+15	7.40167e+14	-81296.6	-21011.5
131	1.94848e+33	-1.13293e+16	-6.3436e+15	-38895.2	162656
132	7.20312e+32	-1.42278e+16	-9.5762e+16	-73939.5	-63640.6
133	3.24119e+32	1.89824e+17	6.93902e+16	11561.2	-47045.1
134	1.91854e+32	-1.21202e+17	8.31878e+16	43380.1	56523.8
