id	mass	x	y	vel_x	vel_y
0	5.95191e+36	3.71171e+16	-1.98265e+16	26271.6	-54041
1	6.85915e+31	4.11569e+16	4.95151e+16	76616.8	-49086.5
2	2.21607e+31	-1.05881e+19	-1.6214e+19	-3.08647e+06	-4.70472e+06
3	2.0144e+32	-2.18654e+18	-6.63607e+17	-1.17553e+06	-352693
4	1.23518e+33	1.1231e+16	-1.50177e+16	-56680	38860.3
5	7.95267e+33	6.59357e+17	-4.42855e+17	219289	-158053
6	2.2521e+32	4.70481e+16	7.64493e+15	140290	-47122.3
7	6.26432e+31	-1.84423e+16	-1.99198e+17	-44543.1	17843.4
8	7.61939e+32	7.29423e+16	-4.44284e+15	-70605.7	-87592.8
9	5.56877e+32	3.1133e+16	-1.29111e+16	207561	-145319
10	2.14752e+32	-2.89834e+17	1.55755e+16	-90268.5	36408.4
11	2.3317e+32	6.10063e+16	-4.00723e+16	-88636.3	-46447
12	3.91521e+30	6.0498e+16	7.53215e+16	83688.7	14320
13	1.69904e+31	-1.23616e+17	3.98023e+15	-7060.13	70870.9
14	2.44415e+33	3.54254e+16	6.01446e+15	125101	-40558
15	1.58646e+30	-5.8138e+18	2.28526e+18	-2.1046e+06	796952
16	2.52272e+33	4.47439e+16	-2.83302e+17	-39031.1	1063.42
17	2.73848e+32	1.339e+17	-3.0855e+16	-43169.4	-49855.9
18	4.85792e+30	4.67958e+16	9.87163e+16	63122.7	40516
19	1.23205e+31	1.30945e+17	2.08205e+16	-22475	-60644.7
20	3.0562e+32	-1.61266e+17	5.40646e+16	-84719.5	38707.5
21	6.53674e+32	-1.5772e+16	-3.45432e+16	-50891	47164.3
22	9.49579e+31	1.24371e+17	2.17807e+17	81004.9	63892.7
23	9.34914e+32	-5.84046e+16	3.06757e+16	38652.2	-13849.3
24	3.953e+31	3.94383e+16	-1.37389e+16	267594	-252813
25	9.27382e+32	2.57141e+16	-2.12464e+17	-11226.1	13462.6
26	1.18569e+33	-1.45203e+15	1.0573e+17	34763.1	8991.18
27	1.30582e+32	-1.92545e+18	2.32183e+17	-577322	80438.1
28	4.39615e+32	-1.09518e+17	7.84873e+16	9565.47	-26232
29	2.93949e+32	-1.10644e+14	-6.57802e+16	91091.5	12615.9
30	1.04425e+32	1.4095e+17	-1.65364e+17	20400.9	-76232.2
31	1.23251e+31	-6.56251e+16	-9.70334e+16	-120170	-92441
32	1.46412e+33	2.58518e+16	1.93414e+16	95337.2	-23466.1
33	1.7343e+33	7.57132e+16	5.16173e+16	121620	26738.3
34	3.10608e+33	-4.85104e+16	4.85757e+16	61444.9	59397.2
35	1.74396e+33	-3.61701e+17	4.36044e+17	-105693	103741
36	1.7344e+30	-1.08103e+18	2.20824e+18	-515631	1.03796e+06
37	1.23592e+32	1.92186e+18	1.19326e+18	1.6319e+06	952791
38	3.52502e+33	4.75631e+16	-1.66588e+16	176694	-123362
39	2.27814e+32	4.51639e+16	-1.05381e+16	69042.7	-39872.5
40	4.85987e+31	5.99504e+16	8.95063e+15	-36705.5	-79064.4
41	1.84566e+32	-3.16906e+16	1.22536e+16	76444.3	45643.8
42	7.20079e+32	9.86774e+15	1.24417e+17	59426.7	39204.8
43	5.02833e+31	-7.39873e+16	4.43442e+16	-19439.9	103864
44	3.74687e+31	-1.70511e+16	1.64697e+17	50120.6	96502.8
45	1.92109e+32	4.16851e+17	-6.63102e+16	141086	-63902.1
46	8.05009e+32	-1.08655e+17	-1.20015e+16	-119623	37157.4
47	7.65994e+30	-7.04675e+17	-4.44455e+16	-248685	-21337.7
48	5.09998e+32	6.82037e+16	-6.99584e+16	-64577.4	-41323
49	6.23815e+32	-1.95364e+17	-2.22097e+17	-125016	-124866
50	1.42418e+33	2.02211e+16	3.62253e+16	63650.3	131218
51	4.64619e+32	1.03839e+18	-1.43924e+18	378596	-540179
52	4.9548e+31	-1.57463e+17	7.42489e+16	30916.3	41442.5
53	1.57755e+33	-9.56428e+16	-1.82466e+16	-47456.2	44058.1
54	1.12643e+33	3.37342e+16	-1.10774e+17	-33356.7	-18562.2
55	1.58633e+31	-5.90026e+16	-6.18801e+16	-13135.6	28737.1
56	2.28915e+32	-5.25305e+16	4.6482e+16	31421.2	25561.5
57	2.08638e+31	7.44006e+16	-7.98661e+16	-74403.6	-18904.2
58	2.10803e+31	-1.59331e+17	5.90359e+16	-19831.9	26639.2
59	3.00503e+30	-2.08908e+16	5.52943e+17	-5604.6	154517
60	7.02615e+32	5.09407e+17	3.79611e+17	180193	121170
61	1.76775e+31	8.74509e+16	1.05503e+17	45981.3	-52079.9
62	1.5941e+31	-2.90134e+16	-1.94545e+17	52352.5	3455.79
63	8.84274e+30	-7.99513e+16	7.21029e+16	66320	51077.9
64	2.86129e+31	-8.78438e+18	-8.40387e+18	-9.44338e+06	-9.03386e+06
65	3.50064e+33	-6.29955e+16	7.34633e+15	922.3	65199.2
66	3.15932e+31	1.39169e+17	2.13994e+17	65877.9	45380.3
67	9.41769e+31	8.12711e+16	-8.51924e+16	-67752	-18372.8
68	2.4283e+33	-3.3374e+16	2.37415e+18	-3129.79	968778
69	9.49008e+30	3.00948e+16	4.47784e+17	16122.1	120252
70	4.351e+32	-2.13752e+16	7.32296e+15	-4177.46	18260.8
71	1.79175e+33	2.14256e+17	2.20571e+17	78626.7	66393.4
72	6.19992e+33	-2.47514e+18	2.25867e+18	-939751	835524
73	2.16955e+31	-9.08517e+16	9.99756e+16	26249.2	10409.5
74	2.22198e+32	4.19408e+16	-2.69952e+16	-96256.2	27666.7
75	1.45469e+32	-7.72372e+16	2.56956e+16	-53136.6	79383.9
76	1.25596e+32	5.08049e+16	2.39888e+16	59517.4	-115342
77	5.49904e+31	-1.5324e+17	-6.89505e+16	-82675.3	-60137.2
78	1.05412e+32	-7.44729e+17	2.61753e+18	-254265	886087
79	4.64679e+33	5.32755e+16	6.99278e+16	40113.8	-49942.4
80	6.11352e+33	5.26947e+16	6.06934e+16	12784.7	-65195.5
81	1.69755e+31	3.16886e+16	4.57432e+16	129316	30142.4
82	3.54181e+32	-3.08275e+17	-9.98161e+16	-100400	-12810.9
83	9.97393e+30	3.10338e+16	6.39049e+16	10122.1	-35200.2
84	7.27506e+30	-1.93029e+16	-3.84516e+15	-16137.7	85496.7
85	2.96659e+32	-1.60184e+17	-1.11525e+17	-37855.3	-7029.83
86	1.01684e+32	-5.34479e+16	-2.48211e+17	-39651.1	-56113.2
87	1.92551e+33	3.7174e+16	9.61277e+15	146660	63020.3
88	2.47278e+31	3.59811e+16	-2.06548e+16	68285.8	299141
89	7.41683e+30	-1.04614e+17	-2.22589e+16	-19474.9	82732.6
90	1.48321e+32	-1.15285e+18	-1.37491e+18	-344207	-408992
91	1.35913e+31	-1.90635e+16	2.37742e+17	43941.2	-2636.39
92	2.90899e+31	4.45259e+16	-1.10047e+16	258584	54296.3
93	8.28596e+30	-4.92477e+16	-1.9946e+17	-27706.5	-25364
94	3.71461e+33	-1.18052e+16	-6.26416e+16	-80147.4	38957.4
95	2.81143e+33	-3.6828e+15	6.29741e+16	63816.9	-2078.13
96	4.52652e+33	6.74764e+16	4.51164e+16	29543.7	-74253.6
97	5.06615e+32	2.32686e+17	-5.62671e+17	88744.9	-252131
98	1.60777e+32	4.56892e+18	1.9217e+18	1.81394e+06	761083
99	4.27622e+31	-3.18955e+16	3.44778e+16	9694.38	77364.8
