id	mass	x	y	vel_x	vel_y
0	5.95191e+36	5.92341e+16	-5.66802e+16	25023.8	-41718.5
1	6.85915e+31	9.47265e+16	-1.11616e+16	50377.2	-108912
2	2.21607e+31	-1.30573e+19	-1.99776e+19	-3.08647e+06	-4.70472e+06
3	2.0144e+32	-3.12694e+18	-9.45753e+17	-1.17548e+06	-352673
4	1.23518e+33	4.45638e+16	-2.44796e+16	103846	-79367.9
5	7.95267e+33	8.34574e+17	-5.69141e+17	218785	-157686
6	2.2521e+32	5.52724e+16	-5.41322e+16	218146	239802
7	6.26432e+31	-5.21479e+16	-1.80178e+17	-39101.2	29367.5
8	7.61939e+32	6.80057e+19	-1.08643e+18	1.14345e+08	-1.77689e+06
9	5.56877e+32	4.00017e+16	-4.90625e+16	24392.8	-5094.17
10	2.14752e+32	-3.60572e+17	4.44628e+16	-86897.6	35837.8
11	2.3317e+32	1.11916e+17	-6.53287e+16	42319.1	-103290
12	3.91521e+30	1.3124e+17	6.66732e+16	86215.2	-29773.9
13	1.69904e+31	-1.23692e+17	5.97138e+16	4610.84	69092.4
14	2.44415e+33	-2.0722e+17	6.93851e+17	-619740	1.77632e+06
15	1.58646e+30	-7.49748e+18	2.92282e+18	-2.1046e+06	796952
16	2.52272e+33	1.34936e+16	-2.79829e+17	-38848.6	7796.78
17	2.73848e+32	6.35515e+16	-6.09497e+16	-316217	88378.3
18	4.85792e+30	1.04554e+17	1.23162e+17	78305.2	23111.6
19	1.23205e+31	6.25321e+17	-7.22625e+17	4.13514e+07	-5.28179e+07
20	3.0562e+32	-2.25963e+17	8.38468e+16	-77943.3	36120.4
21	6.53674e+32	-2.92413e+16	1.37084e+14	4324.78	32592
22	9.49579e+31	1.8825e+17	2.66677e+17	78835	58820.5
23	9.34914e+32	-1.50714e+16	1.88961e+16	65209.3	-20854.8
24	3.953e+31	7.52095e+16	-8.10752e+16	50928.4	-257648
25	9.27382e+32	1.70987e+16	-1.96509e+17	-9557.3	27347.8
26	1.18569e+33	2.77176e+16	1.03971e+17	36482.9	-12683.2
27	1.30582e+32	-2.38725e+18	2.96538e+17	-577202	80461.7
28	4.39615e+32	-1.04472e+17	5.69287e+16	7741.43	-27465.1
29	2.93949e+32	2.99394e+16	-8.1624e+16	30070.9	-58580.4
30	1.04425e+32	1.54575e+17	-2.22521e+17	13962.7	-67007.4
31	1.23251e+31	-1.57044e+17	-1.66967e+17	-110115	-84254.5
32	1.46412e+33	5.58233e+16	-7.38304e+16	-151582	-33439.9
33	1.7343e+33	1.63362e+17	5.89896e+16	99543.8	-2198.39
34	3.10608e+33	1.91849e+17	-3.00866e+17	386139	-580373
35	1.74396e+33	-4.45989e+17	5.1869e+17	-105135	102943
36	1.7344e+30	-1.49352e+18	3.03858e+18	-515610	1.0379e+06
37	1.23592e+32	3.22735e+18	1.95548e+18	1.63185e+06	952767
38	3.52502e+33	6.33279e+16	-6.27027e+16	-273961	3972.52
39	2.27814e+32	1.21047e+17	-8.77516e+16	73354	-43901.6
40	4.85987e+31	9.67469e+16	-2.92095e+16	248601	31005.3
41	1.84566e+32	4.9287e+16	4.93423e+16	113593	31583.2
42	7.20079e+32	5.30577e+16	1.48814e+17	51342.5	23972.7
43	5.02833e+31	-8.1881e+16	1.23032e+17	-4874.26	93158
44	3.74687e+31	2.36658e+16	2.37776e+17	50922.8	87513.7
45	1.92109e+32	5.28716e+17	-1.17267e+17	138749	-63511.9
46	8.05009e+32	-1.91125e+18	-1.25091e+18	-2.29947e+06	-1.5831e+06
47	7.65994e+30	-9.03333e+17	-6.15034e+16	-248018	-21310.1
48	5.09998e+32	2.75983e+16	-3.68974e+16	42746.2	99297.1
49	6.23815e+32	-2.94261e+17	-3.21076e+17	-122494	-122855
50	1.42418e+33	8.12491e+16	1.23874e+17	71579.9	97114.1
51	4.64619e+32	1.34124e+18	-1.87134e+18	378531	-540080
52	4.9548e+31	-1.28758e+17	1.05649e+17	40630.2	35369
53	1.57755e+33	-1.25349e+17	1.72436e+16	-27460.8	45287.6
54	1.12643e+33	1.20888e+16	-1.05722e+17	-12767	32546.9
55	1.58633e+31	-6.09786e+16	-3.38268e+16	10351.5	37947
56	2.28915e+32	-3.77287e+16	1.04123e+17	29262.9	61834.7
57	2.08638e+31	2.55044e+16	-4.16455e+16	30008	102127
58	2.10803e+31	-1.71713e+17	7.8777e+16	-11674.1	22895.8
59	3.00503e+30	-2.53286e+16	6.76082e+17	-5496.33	153415
60	7.02615e+32	6.53246e+17	4.76299e+17	179477	120593
61	1.76775e+31	1.17855e+17	5.21754e+16	29115.4	-88341
62	1.5941e+31	1.45413e+16	-1.86154e+17	56872.6	18287.6
63	8.84274e+30	-1.65968e+16	1.01247e+17	92198.8	11939.3
64	2.86129e+31	-1.63392e+19	-1.5631e+19	-9.44338e+06	-9.03386e+06
65	3.50064e+33	-5.18534e+16	5.73865e+16	22925.2	59005.9
66	3.15932e+31	1.91142e+17	2.47866e+17	64057.6	39713.8
67	9.41769e+31	2.72807e+16	-5.42438e+16	2411.22	114789
68	2.4283e+33	-3.58773e+16	3.14914e+18	-3128.51	968717
69	9.49008e+30	4.29655e+16	5.43271e+17	16065.2	118593
70	4.351e+32	-1.07376e+14	1.6705e+16	45738	2620.48
71	1.79175e+33	2.76316e+17	2.72283e+17	76737.1	62997.5
72	6.19992e+33	-3.22687e+18	2.92709e+18	-939561	835576
73	2.16955e+31	-6.52483e+16	1.03864e+17	37191.2	-459.817
74	2.22198e+32	-5.22407e+18	-6.2398e+18	-1.33888e+07	-1.57432e+07
75	1.45469e+32	-1.1544e+17	7.8351e+16	-44198.2	55154.7
76	1.25596e+32	1.26953e+20	8.61211e+19	7.49283e+08	5.08835e+08
77	5.49904e+31	-2.16035e+17	-1.15754e+17	-75044.9	-57248.7
78	1.05412e+32	-9.48136e+17	3.32638e+18	-254251	886040
79	4.64679e+33	6.83409e+16	4.62591e+16	10630.3	-32855.9
80	6.11352e+33	6.12701e+16	-1.57964e+16	10745.3	-147194
81	1.69755e+31	1.29058e+17	5.41235e+16	112775	357.648
82	3.54181e+32	-3.87201e+17	-1.09751e+17	-97224.3	-12142.9
83	9.97393e+30	3.88617e+16	2.11226e+16	9637.63	-70176.8
84	7.27506e+30	-1.11393e+16	5.53543e+16	20344.8	64328.9
85	2.96659e+32	-1.87242e+17	-1.16001e+17	-30185.2	-4066.83
86	1.01684e+32	-8.42378e+16	-2.90545e+17	-37234.2	-50194.9
87	1.92551e+33	1.35015e+17	-1.42351e+14	99826.8	-44505.6
88	2.47278e+31	5.79928e+16	-5.81734e+16	-5110.65	166496
89	7.41683e+30	-1.13009e+17	4.49128e+16	-5399.4	84887.3
90	1.48321e+32	-1.42819e+18	-1.70207e+18	-344131	-408906
91	1.35913e+31	1.71965e+16	2.33303e+17	47067.4	-8474.34
92	2.90899e+31	1.49669e+17	-8.04691e+16	87210.5	-130070
93	8.28596e+30	-6.95464e+16	-2.16116e+17	-23011	-16708.6
94	3.71461e+33	-5.41994e+16	-2.3997e+16	-19152.8	21438.8
95	2.81143e+33	5.12203e+16	4.72155e+16	72914.1	-35608.5
96	4.52652e+33	8.73428e+16	-3.72505e+16	-109600	-1237.47
97	5.06615e+32	3.03542e+17	-7.63972e+17	88472.9	-251215
98	1.60777e+32	6.02008e+18	2.53058e+18	1.81394e+06	761077
