id	mass	x	y	vel_x	vel_y
0	5.95191e+36	7.99958e+16	-9.67368e+16	14151.8	-39781.9
1	6.85915e+31	4.00061e+16	-1.02954e+17	-72260.8	41067.6
2	2.21607e+31	-1.61438e+19	-2.46821e+19	-3.08647e+06	-4.70472e+06
3	2.0144e+32	-4.30239e+18	-1.29841e+18	-1.17543e+06	-352660
4	1.23518e+33	1.00312e+17	-7.48836e+16	155435	-106878
5	7.95267e+33	1.05313e+18	-7.26657e+17	218377	-157363
6	2.2521e+32	1.11021e+17	-1.6985e+17	20060	-76777.4
7	6.26432e+31	-8.35027e+16	-1.4487e+17	-21274.5	40003.5
8	7.61939e+32	1.82351e+20	-2.86333e+18	1.14345e+08	-1.77689e+06
9	5.56877e+32	5.57725e+16	-9.6666e+16	-50323	4244.06
10	2.14752e+32	-4.46153e+17	7.9977e+16	-84479.1	35206.6
11	2.3317e+32	9.12861e+16	-1.31664e+17	-78090.6	5817.49
12	3.91521e+30	2.20249e+17	2.24562e+16	83177.6	-65728.1
13	1.69904e+31	-9.40155e+16	1.375e+17	-82400.6	-722.607
14	2.44415e+33	-8.26771e+17	2.47005e+18	-619490	1.77613e+06
15	1.58646e+30	-9.60208e+18	3.71977e+18	-2.1046e+06	796952
16	2.52272e+33	-2.38026e+16	-2.67163e+17	-34997	17675.9
17	2.73848e+32	1.90136e+17	-7.48486e+16	88067.2	-34037.5
18	4.85792e+30	1.7994e+17	1.38816e+17	72589.8	10466.4
19	1.23205e+31	4.19768e+19	-5.35406e+19	4.13514e+07	-5.28179e+07
20	3.0562e+32	-3.01668e+17	1.18975e+17	-73930.4	34330.7
21	6.53674e+32	-4.91995e+15	2.21806e+16	37037.5	17754.8
22	9.49579e+31	2.66146e+17	3.23653e+17	77092.6	55463.9
23	9.34914e+32	6.39229e+16	-1.73286e+16	90488.5	-58533.9
24	3.953e+31	1.08269e+17	-2.85632e+17	29972.5	-188329
25	9.27382e+32	1.46687e+16	-1.5642e+17	9241.04	55764.3
26	1.18569e+33	5.92724e+16	8.36379e+16	26190	-23934.6
27	1.30582e+32	-2.9644e+18	3.77005e+17	-577104	80470.6
28	4.39615e+32	-9.89425e+16	2.78179e+16	7266.35	-30657.6
29	2.93949e+32	3.86876e+16	-1.29792e+17	11975.5	-85961.4
30	1.04425e+32	1.65886e+17	-2.84149e+17	9040.45	-56345
31	1.23251e+31	-2.64115e+17	-2.49825e+17	-104778	-81807.1
32	1.46412e+33	1.0284e+17	-7.77583e+16	66926.7	-142576
33	1.7343e+33	2.55257e+17	5.10153e+16	85219.4	-12056.3
34	3.10608e+33	5.77138e+17	-8.80153e+17	384949	-578750
35	1.74396e+33	-5.50836e+17	6.21326e+17	-104596	102358
36	1.7344e+30	-2.00912e+18	4.07646e+18	-515593	1.03785e+06
37	1.23592e+32	4.8592e+18	2.90823e+18	1.63183e+06	952753
38	3.52502e+33	8.78217e+16	-8.25787e+16	162064	11207.4
39	2.27814e+32	1.60366e+17	-1.15152e+17	5027.14	-13170.9
40	4.85987e+31	3.16916e+17	-8.4179e+15	209976	18533.4
41	1.84566e+32	-1.64464e+18	3.6184e+18	-1.29293e+07	2.56237e+07
42	7.20079e+32	1.04409e+17	1.65711e+17	43942.9	11910.3
43	5.02833e+31	-8.38488e+16	2.11815e+17	73.0731	85519.7
44	3.74687e+31	7.50043e+16	3.22062e+17	51465.5	81755
45	1.92109e+32	6.6645e+17	-1.80591e+17	136874	-63144.6
46	8.05009e+32	-4.21069e+18	-2.83401e+18	-2.29942e+06	-1.58308e+06
47	7.65994e+30	-1.15108e+18	-8.28028e+16	-247523	-21293.3
48	5.09998e+32	1.07367e+17	3.76569e+15	84059.1	5542.82
49	6.23815e+32	-4.1588e+17	-4.43227e+17	-120906	-121601
50	1.42418e+33	1.48595e+17	2.15143e+17	65087.8	85783.1
51	4.64619e+32	1.71974e+18	-2.41138e+18	378482	-540007
52	4.9548e+31	-8.69711e+16	1.34625e+17	42988	26838.2
53	1.57755e+33	-1.47827e+17	6.19691e+16	-19848.5	44850.3
54	1.12643e+33	5.41953e+16	-5.83088e+16	111738	24196.3
55	1.58633e+31	-3.88089e+16	5.09124e+15	31363.1	36216.5
56	2.28915e+32	-1.45244e+16	1.56335e+17	21590.1	41358.6
57	2.08638e+31	9.87323e+16	1.58462e+15	82156.7	7330.19
58	2.10803e+31	-1.79858e+17	9.97548e+16	-5120.58	19178.7
59	3.00503e+30	-3.07782e+16	8.29029e+17	-5409.84	152550
60	7.02615e+32	8.32436e+17	5.96641e+17	178950	120127
61	1.76775e+31	1.3078e+17	-3.75505e+16	-251.115	-106638
62	1.5941e+31	7.64731e+16	-1.49194e+17	69441.2	72263.9
63	8.84274e+30	7.90387e+16	1.06386e+17	104145	12587.7
64	2.86129e+31	-2.57827e+19	-2.4665e+19	-9.44338e+06	-9.03386e+06
65	3.50064e+33	-2.25977e+16	1.14055e+17	36918.7	57608.6
66	3.15932e+31	2.5408e+17	2.85435e+17	61962.3	35745.6
67	9.41769e+31	9.60733e+16	4.07432e+15	81374.9	21308.4
68	2.4283e+33	-3.90052e+16	4.11784e+18	-3127.44	968672
69	9.49008e+30	5.90292e+16	6.61157e+17	16065.1	117284
70	4.351e+32	5.7779e+16	3.06361e+15	64490.6	-31904.3
71	1.79175e+33	3.52142e+17	3.33895e+17	75048.2	60497.4
72	6.19992e+33	-4.1664e+18	3.76273e+18	-939520	835682
73	2.16955e+31	-2.75975e+16	9.78016e+16	40571	-8964.89
74	2.22198e+32	-1.8613e+19	-2.19829e+19	-1.33888e+07	-1.57432e+07
75	1.45469e+32	-1.54702e+17	1.30692e+17	-35415.7	49988.1
76	1.25596e+32	8.76238e+20	5.94956e+20	7.49283e+08	5.08835e+08
77	5.49904e+31	-2.88873e+17	-1.71836e+17	-71916.1	-54608.5
78	1.05412e+32	-1.20239e+18	4.2124e+18	-254241	886004
79	4.64679e+33	8.10787e+16	5.88933e+15	13672.1	-52981.5
80	6.11352e+33	1.64858e+17	-2.24183e+15	75949.1	67584.5
81	1.69755e+31	2.64526e+17	2.08779e+16	130615	-44794.9
82	3.54181e+32	-4.83135e+17	-1.21746e+17	-94820.8	-11910.6
83	9.97393e+30	8.35286e+16	-9.87982e+16	364044	214536
84	7.27506e+30	9.9345e+16	1.47416e+17	130278	94261
85	2.96659e+32	-2.13779e+17	-1.18797e+17	-23221	-1762.45
86	1.01684e+32	-1.19895e+17	-3.38172e+17	-34126	-45384.6
87	1.92551e+33	2.15827e+17	-5.41753e+16	64876.2	-59833.2
88	2.47278e+31	6.88902e+16	-1.08306e+17	34342.3	-2192.71
89	7.41683e+30	-1.10171e+17	1.29132e+17	11487.3	82681
90	1.48321e+32	-1.77228e+18	-2.11094e+18	-344070	-408835
91	1.35913e+31	6.71018e+16	2.18719e+17	50623.8	-22626.5
