id	mass	x	y	vel_x	vel_y
0	5.02547e+32	-7.59764e+15	-4.86654e+15	-70.0162	39075
1	7.08432e+10	4.33667e+14	-2.9194e+15	21896.9	181995
2	5.76655e+11	4.09604e+15	4.86813e+15	-23227.3	-49981.5
3	1.42259e+29	-7.65818e+14	1.21139e+15	-46149.8	30847.5
4	2.49947e+22	3.58416e+15	-3.61084e+15	33219.7	-21167.3
5	2.18955e+17	-8.40472e+15	1.19572e+15	37139	11937.6
6	4.2882e+23	5.28608e+14	-2.65973e+15	-54243.4	-31468.4
7	2.03361e+27	-2.48627e+15	5.45318e+14	37280.4	-552.246
8	2.69747e+22	-6.91116e+15	-2.22832e+16	-8.17628e+06	-1.48115e+07
9	5.56463e+16	-7.92645e+15	-1.90382e+15	26373.5	-47123.4
10	5.31067e+15	-8.17305e+15	1.24024e+14	-30225.2	-24936.6
11	3.42552e+28	-6.50843e+15	-4.85047e+15	-40081.8	-9302.45
12	7.93296e+22	-9.57788e+14	2.60613e+15	-47349	-58894.2
13	9.09496e+14	-7.5864e+15	-1.80405e+15	43091.6	37354.9
14	2.71242e+26	6.53474e+15	9.32927e+14	-6583.5	38816.6
15	1.0384e+22	-2.70341e+15	3.78745e+15	17328.4	-25491
16	4.60839e+30	3.83984e+15	4.21768e+15	14646.8	6457.11
17	1.26519e+24	-4.17627e+15	4.89247e+15	-30304.3	25824.3
18	2.40692e+17	-4.80328e+15	-4.36325e+15	8865.21	-33583.3
19	3.86934e+22	-7.48613e+15	4.64731e+15	-90958.3	-36227.4
20	1.94664e+15	3.27389e+15	7.82425e+14	20312.2	-49095.5
21	2.12366e+31	-4.37166e+14	-3.74239e+14	-38877.2	13553.8
22	9.24921e+21	6.76196e+15	4.31862e+15	3921.91	-30793.5
23	1.73012e+33	2.95893e+15	-1.08974e+15	32013.4	47428.4
24	1.43744e+25	7.68633e+15	9.79677e+14	10758.5	20149.3
25	2.74568e+14	-1.57451e+15	-4.70642e+15	47646.9	18994.7
26	7.94742e+14	8.00897e+14	4.73033e+15	35932.3	42150.4
27	4.1854e+30	5.24394e+14	4.96774e+15	27549.8	2712.65
28	5.07421e+34	-5.71488e+15	1.84909e+14	3664.88	-998.192
29	5.23338e+19	2.62117e+15	2.47686e+15	-12684.3	-13321.6
30	7.78683e+33	6.07752e+15	3.58457e+15	-29472.5	24156.6
31	2.36042e+23	7.89865e+15	-1.28137e+15	-41086	-26795.5
32	2.78844e+30	-3.3171e+15	4.15799e+15	-52059.1	-50438.4
33	3.70739e+22	7.47027e+15	-3.01232e+15	18099.9	-30994
34	6.92493e+12	3.69979e+15	-4.03829e+15	-33179.1	55128.9
35	5.06385e+21	-1.98294e+15	-2.58789e+15	29036.6	-14778.3
