id	mass	x	y	vel_x	vel_y
0	5.02547e+32	-7.58373e+15	-4.11854e+15	3169	104107
1	7.08432e+10	7.81481e+14	-2.36368e+15	-54809.8	66175.1
2	5.76655e+11	4.3978e+15	5.0489e+15	-15172.1	-33915.2
3	1.42259e+29	-1.04808e+15	1.51473e+15	-16702.9	20414.1
4	2.49947e+22	4.05467e+15	-3.54548e+15	64623.3	3870.6
5	2.18955e+17	-7.77863e+15	1.70416e+15	88302.1	85123.1
6	4.2882e+23	1.405e+15	-3.02612e+15	109057	38127
7	2.03361e+27	-2.39162e+15	7.17765e+14	-28580.2	14874.7
8	2.69747e+22	-9.68494e+16	-1.85208e+17	-8.17618e+06	-1.48113e+07
9	5.56463e+16	-7.35009e+15	-2.56033e+15	93742	-95215.2
10	5.31067e+15	-8.31151e+15	-1.59673e+14	5517.49	-26774.7
11	3.42552e+28	-6.86865e+15	-4.66746e+15	-27949.6	39423.3
12	7.93296e+22	-1.07149e+15	2.45881e+15	-57819.1	-35226.2
13	9.09496e+14	-6.93374e+15	-1.35443e+15	74842.5	40967
14	2.71242e+26	6.66416e+15	1.10703e+15	23836.3	-1991.83
15	1.0384e+22	-2.49658e+15	3.33727e+15	20450.3	-55882.1
16	4.60839e+30	4.12217e+15	4.15356e+15	35929.2	-19408
17	1.26519e+24	-4.51739e+15	4.99637e+15	-32793.2	-6575.72
18	2.40692e+17	-3.84894e+15	-4.15963e+15	75989.6	62617.1
19	3.86934e+22	-7.63519e+15	5.00848e+15	46328.1	-62475.5
20	1.94664e+15	3.33438e+15	4.31888e+13	-85647.4	-139196
21	2.12366e+31	-4.73973e+14	-3.9945e+14	-138923	-49060.1
22	9.24921e+21	6.89601e+15	3.86788e+15	18671	-51283.8
23	1.73012e+33	3.33816e+15	-3.54495e+14	35839.8	96758
24	1.43744e+25	7.86014e+15	1.29712e+15	-7792.63	45874.6
25	2.74568e+14	-1.05587e+15	-4.27915e+15	42433.7	62126.1
26	7.94742e+14	1.16275e+15	5.06698e+15	30346.9	20396.2
27	4.1854e+30	7.85394e+14	4.86165e+15	19580.5	-21118.3
28	5.07421e+34	-5.6023e+15	1.15429e+14	17124.7	-12378
29	5.23338e+19	2.463e+15	2.14011e+15	-18903.2	-44098
30	7.78683e+33	5.8555e+15	3.67159e+15	-29541.7	-1417.14
31	2.36042e+23	7.22649e+15	-1.68885e+15	-79243.4	-70231.7
32	2.78844e+30	-3.84665e+15	3.73839e+15	19599.3	-16892.6
33	3.70739e+22	7.54917e+15	-3.39873e+15	-1866.56	-31438.9
34	6.92493e+12	4.11109e+15	-4.44139e+15	84398.5	-55601
35	5.06385e+21	-1.73389e+15	-2.56493e+15	18783.8	20595.2
