id	mass	x	y	vel_x	vel_y
0	5.02547e+32	-6.0103e+15	-3.15332e+15	267871	80904.6
1	7.08432e+10	1.05927e+15	-1.62339e+15	-53279.3	180239
2	5.76655e+11	4.6865e+15	4.94974e+15	-3352.15	-21973.7
3	1.42259e+29	-1.20745e+15	1.70742e+15	-14131.2	32182
4	2.49947e+22	4.79258e+15	-3.28267e+15	108214	19046.8
5	2.18955e+17	-7.56914e+15	2.91505e+15	-86522.5	-15451.4
6	4.2882e+23	2.30382e+15	-2.55635e+15	80351.8	48605.9
7	2.03361e+27	-3.07843e+15	9.60945e+14	14692.3	177452
8	2.69747e+22	-1.78611e+17	-3.33321e+17	-8.17617e+06	-1.48113e+07
9	5.56463e+16	-6.07894e+15	-2.30508e+15	276878	37924.9
10	5.31067e+15	-8.121e+15	-4.33849e+14	35554.5	-29113.1
11	3.42552e+28	-7.10083e+15	-4.06313e+15	-33297.9	99401.7
12	7.93296e+22	-1.49499e+15	2.40067e+15	-101540	-44039.5
13	9.09496e+14	-5.95145e+15	-9.6131e+14	127533	38943.3
14	2.71242e+26	7.29152e+15	6.85129e+14	68528.5	-163870
15	1.0384e+22	-2.25706e+15	2.64893e+15	28558.8	-82020.4
16	4.60839e+30	4.52871e+15	3.75739e+15	43513.1	-71442.9
17	1.26519e+24	-4.86665e+15	4.79047e+15	-37611.7	-35107.4
18	2.40692e+17	-3.42415e+15	-3.46638e+15	21912.7	76335
19	3.86934e+22	-7.818e+15	4.40171e+15	87660.7	-36170.7
20	1.94664e+15	2.55031e+15	6.75379e+14	-46530.5	50978.3
21	2.12366e+31	-1.31811e+15	-1.51027e+14	-33629.2	68593.6
22	9.24921e+21	6.97904e+15	3.31088e+15	-17081.2	-48404.9
23	1.73012e+33	3.28701e+15	7.54267e+14	-47270.2	98431.1
24	1.43744e+25	7.217e+15	1.37093e+15	-88534.4	-32932.7
25	2.74568e+14	-9.75497e+14	-3.6824e+15	1595.88	54504.1
26	7.94742e+14	1.44804e+15	5.18839e+15	27013.3	4133.47
27	4.1854e+30	9.20269e+14	4.5587e+15	5820.94	-37211.4
28	5.07421e+34	-5.29689e+15	-2.74591e+14	53341.6	-72960.2
29	5.23338e+19	2.17953e+15	1.54189e+15	-41244.9	-81653
30	7.78683e+33	5.50853e+15	3.47742e+15	-40581.1	-33595.9
31	2.36042e+23	6.39724e+15	-2.50041e+15	-83569.8	-107812
32	2.78844e+30	-3.76827e+15	3.36882e+15	-9878.73	-51450.8
33	3.70739e+22	7.64672e+15	-3.10274e+15	-65944.1	246969
34	6.92493e+12	5.09114e+15	-4.81636e+15	116149	-17853.5
35	5.06385e+21	-1.61036e+15	-2.20392e+15	6969.87	50017.4
36	1.47898e+13	-3.60142e+15	-2.43996e+15	51219.6	-7782.75
37	5.62322e+12	-1.19226e+14	4.02877e+14	91523.2	-142213
38	1.4015e+29	7.77691e+15	-2.46258e+15	90450.8	-154624
39	4.70393e+28	-5.25247e+15	-3.00102e+14	-236561	146212
40	6.02214e+34	-3.18867e+15	6.64204e+14	-65620.1	57020.5
41	3.99993e+30	-4.40102e+15	-4.42748e+15	-102245	42703.4
42	1.20838e+14	3.86307e+14	1.43786e+15	211901	52411.8
43	8.1741e+34	7.512e+15	-3.03717e+15	-91637.7	1309.97
44	9.05338e+32	6.73687e+15	2.6551e+14	61958.4	-4172.09
45	3.01552e+25	-2.22661e+16	3.24538e+15	-2.0613e+06	295496
46	2.71414e+21	-1.26575e+16	-4.91013e+15	-434366	-268316
47	3.93149e+20	3.06026e+15	-1.25761e+15	39674.1	9907.74
48	6.40856e+31	-6.62497e+15	-8.77026e+14	124501	-57718.1
49	8.60666e+19	-6.85591e+15	-3.22656e+15	27245.5	141218
50	5.40013e+15	-8.76637e+14	-7.58465e+14	-87763.4	-79672.7
51	1.04078e+20	7.29159e+15	-1.61675e+15	45866	-80307.1
52	8.34462e+23	-3.30481e+15	1.59087e+15	23671.8	-166216
53	5.22951e+17	-2.6208e+15	-2.68082e+15	26443.1	30073.1
54	2.34121e+12	8.9374e+14	-3.24963e+15	12437.3	59781.1
