id	mass	x	y	vel_x	vel_y
0	5.02547e+32	-3.36001e+15	-2.06943e+15	254058	133245
1	7.08432e+10	9.72227e+14	-7.66092e+14	27219.2	-48181.9
2	5.76655e+11	4.92354e+15	4.57288e+15	10167	-17943.6
3	1.42259e+29	-2.25138e+15	1.65163e+15	-106566	-37065.8
4	2.49947e+22	5.11347e+15	-3.33462e+15	-147668	-15737.2
5	2.18955e+17	-6.38586e+15	2.67012e+15	109456	-104375
6	4.2882e+23	3.15297e+15	-2.04325e+15	93524.1	46860.8
7	2.03361e+27	-3.32294e+15	1.97519e+15	-40877.6	64984.5
8	2.69747e+22	-2.60373e+17	-4.81434e+17	-8.17617e+06	-1.48113e+07
9	5.56463e+16	-3.41205e+15	-1.38466e+15	236540	135222
10	5.31067e+15	-7.55259e+15	-7.48601e+14	77627.3	-30396.9
11	3.42552e+28	-7.75516e+15	-5.21019e+15	-46793.8	-120076
12	7.93296e+22	-2.37443e+15	1.82014e+15	-81660.3	-72751.2
13	9.09496e+14	-5.24125e+15	-1.7807e+15	-108280	-150113
14	2.71242e+26	6.32615e+15	-1.53523e+15	-207303	-252198
15	1.0384e+22	-1.91126e+15	1.68943e+15	44854	-110657
16	4.60839e+30	4.6162e+15	3.49447e+15	35514.5	-14139.4
17	1.26519e+24	-5.28825e+15	4.28321e+15	-48932.7	-69528.5
18	2.40692e+17	-3.32158e+15	-2.60478e+15	-1067.03	99475.2
19	3.86934e+22	-8.87717e+15	3.97627e+15	-107747	-47339.3
20	1.94664e+15	1.54152e+15	8.33412e+14	-160165	-46832.7
21	2.12366e+31	-2.70793e+15	5.12399e+14	-184071	40211.7
22	9.24921e+21	6.78383e+15	2.80433e+15	-23055	-54128.1
23	1.73012e+33	2.71324e+15	1.61241e+15	-67967.6	73675.3
24	1.43744e+25	6.25783e+15	7.49702e+14	-100494	-88169.7
25	2.74568e+14	-9.60577e+14	-3.04369e+15	703.316	74960.8
26	7.94742e+14	1.70623e+15	5.15047e+15	24943.6	-12096.9
27	4.1854e+30	9.34688e+14	4.14662e+15	-385.532	-48381
28	5.07421e+34	-4.66936e+15	-8.06679e+14	28648.1	-26616.6
29	5.23338e+19	1.06153e+15	3.91695e+14	-100214	-147185
30	7.78683e+33	5.16057e+15	3.0022e+15	-23125.1	-44713.1
31	2.36042e+23	5.03268e+15	-3.62831e+15	-196669	98897.9
32	2.78844e+30	-3.40331e+15	5.84701e+15	35338.1	240706
33	3.70739e+22	5.17908e+15	-2.97655e+15	-231518	-52827
34	6.92493e+12	6.35211e+15	-4.676e+15	126114	61691.3
35	5.06385e+21	-1.59184e+15	-1.59804e+15	-2761.63	72106.3
36	1.47898e+13	-3.18839e+15	-2.37801e+15	30093.3	22827.1
37	5.62322e+12	5.8739e+14	1.35553e+14	3052.86	-1265.53
38	1.4015e+29	8.07715e+15	-4.14014e+15	-3235.11	-161036
39	4.70393e+28	-4.47223e+15	-2.17603e+15	6684.97	-139118
40	6.02214e+34	-4.14599e+15	4.4167e+14	-18230.2	-112493
41	3.99993e+30	-4.81974e+15	-3.29872e+15	25002.1	137053
42	1.20838e+14	2.50224e+15	1.7193e+15	203091	9441.08
43	8.1741e+34	6.33571e+15	-2.95435e+15	-145831	7618
44	9.05338e+32	7.20434e+15	3.74046e+13	-12253.8	-43211.8
45	3.01552e+25	-4.28729e+16	6.20024e+15	-2.06021e+06	295398
46	2.71414e+21	-1.69723e+16	-7.57758e+15	-429348	-265565
47	3.93149e+20	3.11153e+15	-1.28233e+15	-11006.4	-1422.83
48	6.40856e+31	-4.11539e+15	-4.34448e+14	495400	372537
49	8.60666e+19	-6.47102e+15	-1.17999e+15	76184.9	240515
50	5.40013e+15	-1.5872e+15	-1.31364e+15	-71041.3	-36045.2
51	1.04078e+20	7.58065e+15	-2.40337e+15	-818.833	-80602.2
52	8.34462e+23	-2.64166e+15	6.95881e+14	197261	81808
53	5.22951e+17	-2.4214e+15	-2.29405e+15	13949.1	48601.1
54	2.34121e+12	1.01176e+15	-2.52892e+15	10471.7	84929
55	1.1308e+31	1.76845e+15	4.01728e+14	152877	942.404
56	1.60814e+12	-5.18837e+15	1.51897e+15	39455.4	103447
57	4.83952e+32	5.22688e+15	-1.92874e+15	28607.4	-85510.7
58	6.40841e+24	-5.76217e+15	4.05061e+15	-46757.1	26961
59	2.98418e+27	-6.7251e+15	-1.90071e+15	-3654.45	181864
60	2.47948e+14	-7.14845e+15	-2.22324e+15	-61272.2	52959.4
61	5.68505e+20	-1.6556e+16	-1.42329e+16	-343642	-767148
62	2.46528e+22	2.35755e+15	2.62889e+15	17196.6	-52325.3
63	3.0424e+34	-5.05832e+15	-8.81364e+14	188657	-10019.3
64	2.28955e+30	8.44865e+14	9.89092e+14	-139211	-43674.6
65	1.90323e+15	2.74084e+14	4.18062e+15	-57586.8	-45484.7
66	2.07626e+25	-7.70395e+16	1.36774e+17	-2.71062e+06	4.54282e+06
67	4.55214e+32	-1.98716e+15	5.16914e+14	-127142	-51682.1
68	5.26226e+21	-6.57306e+15	2.61034e+15	-211980	43718.4
69	6.24234e+19	1.19337e+15	-2.14278e+15	-47098	73114.5
70	8.4829e+27	3.19787e+15	-3.63753e+15	40256.1	62538.5
71	9.27134e+19	-6.97548e+14	4.10054e+14	73062.7	145796
72	2.02422e+15	7.0423e+15	-2.03501e+15	-121266	-24226.8
73	2.0244e+29	7.2712e+15	-1.6749e+15	-94549.9	21381.2
74	5.83709e+13	-1.87494e+15	2.25045e+15	73479.7	-168248
75	5.41546e+31	6.16703e+15	-1.17908e+14	-91397.9	-133627
76	1.69609e+20	-2.8895e+15	1.56956e+15	8340.43	-114219
77	9.30236e+20	-3.17146e+15	-3.52703e+14	14208.9	138386
78	6.25416e+17	-8.23235e+15	-8.16349e+14	65059.5	-31847.3
79	1.07788e+19	3.36706e+13	1.29765e+15	-84326.2	179255
80	2.35902e+14	-2.55364e+16	-1.26318e+17	-998035	-3.6863e+06
81	4.3198e+12	-1.35303e+14	3.33311e+15	-21131.4	-64913.3
82	3.19155e+16	-6.48601e+15	7.45756e+14	83244.2	1212.97
83	4.47792e+22	4.80278e+15	9.41031e+15	-59777.6	202363
84	1.76701e+18	5.76389e+15	-3.02235e+15	128349	37495.9
85	1.34678e+15	4.43561e+15	4.80651e+15	8338.82	30685.5
86	3.86086e+31	1.3476e+15	-2.04762e+15	-41859.7	119026
87	4.80735e+13	5.35283e+16	-2.01026e+16	1.80923e+06	-901367
88	2.66911e+30	-6.15373e+15	2.25692e+15	-89129.9	98771.4
89	2.718e+13	-2.5557e+15	1.22356e+16	209180	664491
90	3.50691e+31	-1.51765e+15	-1.2645e+15	16905.4	69516.9
91	7.36001e+12	-3.68374e+15	4.1808e+14	-4406.41	-249227
92	4.28221e+11	-2.03994e+15	3.85562e+14	51646.8	75560
93	2.43201e+14	-1.87314e+14	1.99162e+15	-59619.7	-106756
94	3.71987e+25	7.53388e+15	7.87891e+14	-70382.2	-14150.6
95	1.13544e+28	-5.8001e+15	3.02789e+15	-77331.7	-117247
96	2.20146e+20	-5.1525e+15	3.10138e+14	156337	-100395
97	8.17363e+18	1.73691e+15	-5.12546e+14	39627	-78792.3
98	1.6623e+33	-9.50562e+14	2.01482e+15	-19285.5	-71298.4
99	1.90086e+14	-3.70361e+16	-6.12022e+16	-2.20065e+06	-2.9674e+06
100	3.02704e+31	7.76935e+15	-2.18807e+15	-96893.2	-55495.1
101	6.51753e+22	-6.24221e+15	-7.38076e+14	-90937.9	132445
102	3.34323e+18	-4.40661e+15	4.3437e+13	87889.1	-160099
103	2.67813e+23	-2.76713e+15	-2.92055e+15	-69525.7	32983.6
104	1.96357e+19	1.22345e+15	3.23646e+14	40365.1	170685
105	1.88381e+19	-5.42324e+14	1.27228e+14	-98324.8	-123170
106	3.00682e+16	-5.80945e+15	4.68643e+15	16582.1	48279.6
107	1.62011e+29	-3.69595e+15	3.29801e+15	-19108.5	-54957.8
108	5.8189e+15	-7.73838e+15	3.92138e+15	128126	20179.7
109	3.5152e+16	-4.97349e+15	6.83107e+14	207136	-80046.1
110	1.03182e+15	-5.09031e+15	-8.84934e+14	355717	70157.9
111	3.22898e+31	5.97449e+15	-2.28744e+15	208406	178048
112	8.5965e+30	-6.76309e+15	-1.57309e+15	237653	-88713.7
113	3.04877e+28	7.39996e+14	1.6776e+14	-27525.5	-114930
114	4.31911e+13	-6.37445e+15	-2.12487e+14	59913.5	166518
115	2.42144e+19	-4.71344e+15	3.18436e+14	-334791	-193214
116	1.83063e+15	5.96189e+15	2.7983e+15	-55659.1	-62004.5
117	5.88441e+19	1.68379e+15	3.3898e+14	100922	21998.8
118	1.12239e+15	6.8922e+15	3.61089e+15	66659.3	45976.9
119	5.84704e+23	5.84903e+15	-1.47784e+15	-80431.1	-31526.6
120	9.0865e+14	-5.46437e+15	-3.19306e+15	-87375.3	-4711.15
121	6.13365e+32	-6.50471e+15	2.03415e+15	2958.73	-24704
122	2.11306e+32	5.26041e+15	1.52964e+15	-19725.3	-11917.4
123	7.55465e+11	-4.73064e+15	2.31953e+15	-89285.7	69032.4
