id	mass	x	y	vel_x	vel_y
0	5.02547e+32	-1.07282e+15	-1.3373e+14	197018	288250
1	7.08432e+10	7.10704e+14	5.29469e+14	-106235	39797
2	5.76655e+11	5.07893e+15	3.8827e+15	37917	-12602.5
3	1.42259e+29	-3.35771e+15	9.75437e+14	-140416	-138609
4	2.49947e+22	5.36927e+15	-3.6759e+15	2.83466e+06	-2.50326e+06
5	2.18955e+17	-5.86169e+15	2.32414e+15	73911.4	-138209
6	4.2882e+23	4.17888e+15	-1.5221e+15	116378	51183
7	2.03361e+27	-3.78776e+15	2.35802e+15	-45669.6	8302.92
8	2.69747e+22	-3.42135e+17	-6.29547e+17	-8.17617e+06	-1.48113e+07
9	5.56463e+16	-1.26663e+15	2.52831e+14	262560	198920
10	5.31067e+15	-6.56253e+15	-9.78522e+14	121913	-13094.6
11	3.42552e+28	-8.16467e+15	-6.35029e+15	-36264.1	-108997
12	7.93296e+22	-3.24519e+15	8.00329e+14	-128364	-148713
13	9.09496e+14	-6.07992e+15	-2.93999e+15	-64082.5	-98666.9
14	2.71242e+26	4.17837e+15	-4.09e+15	-125790	-249061
15	1.0384e+22	-1.51179e+15	6.82405e+14	-12546.6	-162990
16	4.60839e+30	7.37909e+15	2.17945e+15	954640	-343193
17	1.26519e+24	-5.99359e+15	3.21816e+15	-85576.2	-237447
18	2.40692e+17	-3.48739e+15	-1.36014e+15	-36430.9	162015
19	3.86934e+22	-9.78235e+15	3.4294e+15	-77504.7	-59986.8
20	1.94664e+15	9.21604e+14	5.41421e+14	-116470	-52981.7
21	2.12366e+31	8.62422e+15	-8.12372e+16	3.01627e+06	-1.95473e+07
22	9.24921e+21	6.47537e+15	2.22547e+15	-38888.2	-60631.7
23	1.73012e+33	1.95324e+15	2.20874e+15	-82324	46039.8
24	1.43744e+25	5.23315e+15	-4.18963e+14	-104424	-153775
25	2.74568e+14	-9.78138e+14	-2.16034e+15	-3079.04	100553
26	7.94742e+14	1.95158e+15	4.95931e+15	22114	-24023.4
27	4.1854e+30	9.10448e+14	3.58148e+15	-6013.66	-64193.9
28	5.07421e+34	2.70281e+15	8.03641e+15	1.04262e+06	1.34943e+06
29	5.23338e+19	3.21044e+14	-7.81222e+14	19543.8	99813.8
30	7.78683e+33	5.0349e+15	2.66238e+15	44815.2	-132869
31	2.36042e+23	4.40081e+15	-2.58147e+15	24348.5	82837.8
32	2.78844e+30	-3.06979e+15	8.17105e+15	32229.9	225727
33	3.70739e+22	3.45704e+15	-3.70621e+15	-132574	-64088.1
34	6.92493e+12	7.10919e+15	-3.67991e+15	41492.4	114116
35	5.06385e+21	-1.77638e+15	-7.51011e+14	-46026.4	106757
36	1.47898e+13	-3.01983e+15	-1.93062e+15	3834.93	67995
37	5.62322e+12	1.04379e+15	1.78746e+14	104057	121923
38	1.4015e+29	7.90643e+15	-5.67596e+15	-27689.2	-146582
39	4.70393e+28	-4.82945e+15	-2.46624e+15	-20447.4	120999
40	6.02214e+34	-3.9883e+15	-4.89255e+14	-51917.6	-73250.1
41	3.99993e+30	-4.19975e+15	-2.20951e+15	64410.7	74995.8
42	1.20838e+14	4.45432e+15	1.56699e+15	197333	-30755.1
43	8.1741e+34	4.86478e+15	-3.2411e+15	-21745.5	-39142.2
44	9.05338e+32	6.86155e+15	-9.48202e+14	-85634.3	-113732
45	3.01552e+25	-6.34727e+16	9.15381e+15	-2.0598e+06	295327
46	2.71414e+21	-2.12522e+16	-1.02262e+16	-426835	-264352
47	3.93149e+20	3.12018e+15	-1.16147e+15	5980.61	24669.5
48	6.40856e+31	-9.39901e+14	3.81926e+15	100165	531194
49	8.60666e+19	-5.23919e+15	9.76542e+14	136161	221350
50	5.40013e+15	-2.32163e+15	-1.51282e+15	-79366.2	1154.59
51	1.04078e+20	7.29849e+15	-3.15298e+15	-53087.4	-67495.9
52	8.34462e+23	-4.47282e+14	4.51826e+14	220150	-147203
53	5.22951e+17	-2.36935e+15	-1.62866e+15	-4381.95	85977.6
54	2.34121e+12	1.00497e+15	-1.75853e+15	-9281.12	62424.4
55	1.1308e+31	2.61452e+15	5.01121e+14	58384.9	2988.3
56	1.60814e+12	-4.78011e+15	2.46442e+15	31396.8	86889.3
57	4.83952e+32	3.73123e+15	-7.84132e+14	-158203	151629
58	6.40841e+24	-6.50888e+15	4.01642e+15	-80391.1	-44797.2
59	2.98418e+27	-6.34787e+15	1.33969e+14	75890	228166
60	2.47948e+14	-7.59071e+15	-1.59547e+15	-29917	70631.9
61	5.68505e+20	-1.99855e+16	-2.18976e+16	-342411	-765924
62	2.46528e+22	2.48831e+15	1.9854e+15	6090.62	-77485.7
63	3.0424e+34	-3.3597e+15	1.5313e+14	121747	137019
64	2.28955e+30	-4.73364e+14	7.16105e+14	-173501	-51620.6
65	1.90323e+15	-3.57506e+14	3.63966e+15	-72497.8	-59369.4
66	2.07626e+25	-1.04146e+17	1.82202e+17	-2.7106e+06	4.54279e+06
67	4.55214e+32	-2.32618e+15	6.67474e+14	-46103.1	45850.2
68	5.26226e+21	-2.21845e+15	5.84189e+15	522106	312950
69	6.24234e+19	6.45876e+14	-1.2093e+15	-75845.1	127212
70	8.4829e+27	3.74152e+15	-2.92611e+15	78122.3	78948.6
71	9.27134e+19	-1.76915e+14	1.55039e+15	43172.4	70534.5
72	2.02422e+15	5.49372e+15	-2.19053e+15	-179748	-4945.66
73	2.0244e+29	5.54311e+15	-1.55054e+15	-210329	-89436.7
