id	mass	x	y	vel_x	vel_y
0	5.02547e+32	2.05775e+15	5.22791e+15	145997	239253
1	7.08432e+10	-1.58943e+15	1.36594e+15	-163659	-72352.1
2	5.76655e+11	4.93848e+15	2.17487e+15	-43255.5	-128920
3	1.42259e+29	-6.83033e+14	-4.30379e+15	251221	-517252
4	2.49947e+22	6.18473e+16	-5.37456e+16	2.82283e+06	-2.50356e+06
5	2.18955e+17	-2.9781e+15	5.6532e+14	253267	-227615
6	4.2882e+23	6.98362e+15	-1.85974e+15	109008	-56525.4
7	2.03361e+27	-4.60461e+15	2.6992e+14	265448	-38261.3
8	2.69747e+22	-5.05659e+17	-9.25773e+17	-8.17617e+06	-1.48113e+07
9	5.56463e+16	3.64394e+15	-2.21256e+14	234814	-32949.5
10	5.31067e+15	-3.94509e+15	5.25646e+14	112435	172168
11	3.42552e+28	-8.76383e+15	-8.38939e+15	-24633.7	-96035.9
12	7.93296e+22	-4.61264e+14	-2.26177e+15	187868	-126073
13	9.09496e+14	-6.94134e+15	-4.55661e+15	-28003.8	-67132.4
14	2.71242e+26	1.90536e+15	-8.33287e+15	-112567	-192737
15	1.0384e+22	1.54534e+14	-5.46192e+14	49500.8	-167321
16	4.60839e+30	2.63084e+16	-4.69056e+15	942794	-343252
17	1.26519e+24	-3.48554e+15	9.14045e+14	120016	-86873.3
18	2.40692e+17	-4.4502e+15	-1.14941e+15	42172.8	-247358
19	3.86934e+22	-1.1054e+16	2.13537e+15	-50865.6	-67789.2
20	1.94664e+15	-3.79694e+15	1.26509e+15	-255690	-27299.4
21	2.12366e+31	6.89495e+16	-4.72182e+17	3.01626e+06	-1.95472e+07
22	9.24921e+21	5.32031e+15	7.41012e+14	-71876.5	-86662.4
23	1.73012e+33	5.74824e+13	2.54202e+15	-112513	-16610.4
24	1.43744e+25	5.47572e+14	9.73093e+13	-317361	243049
25	2.74568e+14	2.54414e+14	1.2165e+15	131157	207971
26	7.94742e+14	2.27842e+15	4.25423e+15	11237	-50974.9
27	4.1854e+30	8.70718e+14	2.02132e+15	4301.1	-91588.1
28	5.07421e+34	2.35325e+16	3.49504e+16	1.04081e+06	1.34444e+06
29	5.23338e+19	3.30898e+14	3.63477e+14	-328029	165109
30	7.78683e+33	4.52561e+15	1.25462e+15	-25957.9	-80477.2
31	2.36042e+23	2.49464e+15	-4.0323e+15	-172723	-32.1705
32	2.78844e+30	-2.41662e+15	1.25111e+16	33550.4	209792
33	3.70739e+22	1.31056e+15	-4.23334e+15	-86071.5	15563
34	6.92493e+12	7.09282e+15	-1.16211e+15	-36512.2	128723
35	5.06385e+21	-5.00678e+15	1.13616e+15	-168789	35461.6
36	1.47898e+13	-1.46517e+15	-2.03134e+14	128570	-18064.6
37	5.62322e+12	4.14049e+15	-6.67765e+14	154914	-77785.2
38	1.4015e+29	7.14706e+15	-8.40273e+15	-45096.9	-128191
39	4.70393e+28	-4.10315e+15	7.23444e+15	7061.32	607673
40	6.02214e+34	-3.77881e+15	-6.04026e+14	98903.2	38108.2
41	3.99993e+30	-4.4434e+15	1.9903e+15	-48533.1	258361
42	1.20838e+14	7.89717e+15	4.47233e+14	142218	-68791.2
