id	mass	x	y	vel_x	vel_y
0	5.02547e+32	3.48629e+15	7.55066e+15	139933	226414
1	7.08432e+10	-2.77279e+15	1.61391e+14	-400719	364329
2	5.76655e+11	4.64823e+15	7.04378e+14	-72565.4	-145922
3	1.42259e+29	1.83578e+15	-9.37466e+15	252229	-499294
4	2.49947e+22	9.00751e+16	-7.87808e+16	2.82275e+06	-2.50348e+06
5	2.18955e+17	-1.9624e+15	-2.22525e+15	49206.5	-253023
6	4.2882e+23	7.93471e+15	-2.41087e+15	82550.1	-52359.6
7	2.03361e+27	-3.44056e+15	-1.01345e+15	20748.7	-141313
8	2.69747e+22	-5.87421e+17	-1.07389e+18	-8.17617e+06	-1.48113e+07
9	5.56463e+16	5.86879e+15	-8.98214e+14	200799	-78200.9
10	5.31067e+15	-2.50212e+15	2.59398e+15	214216	236519
11	3.42552e+28	-8.98785e+15	-9.32553e+15	-20233.7	-91319.1
12	7.93296e+22	1.53738e+15	-3.20089e+15	218111	-77580.9
13	9.09496e+14	-7.1657e+15	-5.17872e+15	-17198.4	-57670.1
14	2.71242e+26	7.79181e+14	-1.02038e+16	-112686	-182050
15	1.0384e+22	1.51808e+15	-2.67547e+15	200986	-195284
16	4.60839e+30	3.57301e+16	-8.12184e+15	941673	-343020
17	1.26519e+24	-4.01328e+15	1.2512e+14	-116730	228449
18	2.40692e+17	-3.76144e+15	-3.27642e+15	82579.8	-189086
19	3.86934e+22	-1.15093e+16	1.44863e+15	-40502.4	-69382
20	1.94664e+15	-5.36725e+15	1.51983e+15	-92738	48540.6
21	2.12366e+31	9.91121e+16	-6.67654e+17	3.01626e+06	-1.95472e+07
22	9.24921e+21	4.46268e+15	-1.4197e+14	-44884.3	-110459
23	1.73012e+33	-1.19691e+15	2.08574e+15	-88013.4	-124721
24	1.43744e+25	1.17934e+15	2.30296e+15	174999	95885.3
25	2.74568e+14	-1.82415e+15	3.95969e+15	-296921	265132
26	7.94742e+14	2.37699e+15	3.66164e+15	5254.67	-67860.6
27	4.1854e+30	6.10571e+14	8.15119e+14	-56591.6	-161225
28	5.07421e+34	3.39393e+16	4.8393e+16	1.04057e+06	1.34412e+06
29	5.23338e+19	-5.70981e+14	1.26837e+14	-159875	-124477
30	7.78683e+33	4.30769e+15	5.22317e+14	49400.8	-78975.9
31	2.36042e+23	1.15787e+15	-3.33508e+15	282.494	108527
32	2.78844e+30	-2.07774e+15	1.45825e+16	34198.8	204716
33	3.70739e+22	5.88415e+14	-3.85423e+15	-53910.6	64223.4
34	6.92493e+12	6.59032e+15	1.15497e+14	-63619.4	126574
35	5.06385e+21	-6.18439e+15	1.53025e+15	-89880.8	35241.6
36	1.47898e+13	-7.164e+14	-1.56663e+14	75382.8	-12958.5
37	5.62322e+12	5.30976e+15	-1.41119e+15	86863.2	-77576.4
38	1.4015e+29	6.67229e+15	-9.65278e+15	-49608.6	-121968
39	4.70393e+28	-4.01699e+15	1.32595e+16	9619.3	599028
40	6.02214e+34	-3.18114e+15	6.62946e+14	44630.8	179678
41	3.99993e+30	-4.59192e+15	4.29109e+15	8890.91	211585
42	1.20838e+14	9.2283e+15	-2.44677e+14	125105	-69645.5
43	8.1741e+34	3.14282e+15	-2.33293e+15	-92722.2	43668.3
44	9.05338e+32	4.50716e+15	-8.94775e+16	-71982.5	-3.66373e+06
45	3.01552e+25	-1.25259e+17	1.80124e+16	-2.0594e+06	295263
46	2.71414e+21	-3.40019e+16	-1.81269e+16	-423695	-262664
47	3.93149e+20	2.84394e+15	-3.01207e+15	-328991	-284365
48	6.40856e+31	1.977e+15	1.92348e+16	96053	505623
49	8.60666e+19	-1.18872e+15	7.04952e+15	151843	168590
50	5.40013e+15	-5.38609e+15	1.43315e+15	-19498.4	128820
51	1.04078e+20	3.29513e+15	-3.75453e+15	-214730	54206.2
52	8.34462e+23	5.39975e+15	-3.76338e+15	88046.5	-206210
53	5.22951e+17	-1.40765e+15	1.01727e+15	20238.9	69709.9
54	2.34121e+12	-1.39919e+15	-1.36965e+14	-105451	84541.1
55	1.1308e+31	1.22347e+15	-1.6889e+15	-79885.6	-102484
56	1.60814e+12	5.48183e+12	-1.08912e+15	288374	-186448
57	4.83952e+32	8.06624e+13	-4.01757e+14	-95560.5	-86648.6
58	6.40841e+24	-7.43094e+15	4.2459e+14	3907.12	-142905
59	2.98418e+27	-3.88101e+15	4.0052e+15	172225	83595.6
60	2.47948e+14	-7.33496e+15	9.65457e+14	47096.4	92978.5
61	5.68505e+20	-3.02352e+16	-4.48473e+16	-341177	-764348
