id	mass	x	y	vel_x	vel_y
0	5.02547e+32	1.67517e+16	2.86999e+16	131245	207452
1	7.08432e+10	1.07612e+16	-4.31803e+15	198063	-84691.3
2	5.76655e+11	-7.21205e+15	5.57208e+14	-143491	-35741.5
3	1.42259e+29	2.68659e+16	-5.81093e+16	249248	-483946
4	2.49947e+22	3.7234e+17	-3.29119e+17	2.82261e+06	-2.50335e+06
5	2.18955e+17	6.73645e+15	-2.11666e+16	82759.9	-170421
6	4.2882e+23	1.77435e+16	-1.65911e+15	85435.9	7237.48
7	2.03361e+27	4.08972e+15	-5.1636e+15	8567.89	-78363.1
8	2.69747e+22	-1.40504e+18	-2.55502e+18	-8.17617e+06	-1.48113e+07
9	5.56463e+16	2.02462e+16	-9.28732e+15	116763	-83654.4
10	5.31067e+15	4.24061e+15	-2.6925e+15	14062	-89925.7
11	3.42552e+28	-9.52694e+15	-1.73013e+16	3676.91	-70385.8
12	7.93296e+22	1.71997e+16	1.92283e+15	130546	59667.8
13	9.09496e+14	-5.29634e+15	-7.46693e+15	40465.1	5011.81
14	2.71242e+26	-1.03303e+16	-2.65527e+16	-108476	-155423
15	1.0384e+22	2.17741e+18	3.6181e+18	4.271e+07	7.14425e+07
16	4.60839e+30	1.29745e+17	-4.2381e+16	939477	-342398
17	1.26519e+24	-7.80662e+14	1.60573e+16	42948.8	125802
18	2.40692e+17	5.90413e+15	-1.4009e+16	73020.9	-62798
19	3.86934e+22	-1.24525e+16	-5.60128e+15	11339.5	-69075.1
20	1.94664e+15	-4.83027e+15	1.95631e+15	63904.9	-23234.8
21	2.12366e+31	4.00738e+17	-2.62237e+18	3.01626e+06	-1.95472e+07
22	9.24921e+21	-2.75528e+16	6.41249e+14	-322069	47110.5
23	1.73012e+33	-6.12892e+15	-2.90859e+16	-88274.5	-323887
24	1.43744e+25	8.94409e+15	1.31834e+16	49928.1	103312
25	2.74568e+14	-2.78212e+16	2.62067e+16	-252919	215241
26	7.94742e+14	-2.03064e+14	2.27923e+16	-29772.5	201964
27	4.1854e+30	1.51478e+16	3.56595e+16	201612	393251
28	5.07421e+34	1.37962e+17	1.82768e+17	1.04008e+06	1.34359e+06
29	5.23338e+19	-9.12409e+15	-1.48468e+16	-89718.5	-136303
30	7.78683e+33	-1.35663e+16	-7.63273e+15	-2.17734e+06	-984395
31	2.36042e+23	-3.04132e+15	1.37643e+16	-75036.8	226834
32	2.78844e+30	1.4081e+15	3.39742e+16	34778.4	188573
33	3.70739e+22	1.51777e+16	-5.73928e+15	242708	-130718
34	6.92493e+12	-2.40745e+15	1.11766e+16	-85347.5	84197.2
35	5.06385e+21	-6.86367e+15	4.05732e+15	44675.4	15776.1
36	1.47898e+13	6.46616e+16	1.46116e+16	1.13126e+06	243684
37	5.62322e+12	9.82029e+15	-1.38081e+16	18732.1	-107901
38	1.4015e+29	8.57197e+14	-1.97819e+16	-68352.6	-84205.3
39	4.70393e+28	-2.96885e+15	7.24816e+16	10472.3	590431
40	6.02214e+34	8.90792e+16	-5.88691e+16	975790	-643678
41	3.99993e+30	3.0102e+14	2.52731e+16	55137.1	205800
42	1.20838e+14	1.77183e+16	-6.80817e+15	73304.2	9030.34
43	8.1741e+34	-6.45151e+16	5.11951e+16	-1.09777e+06	884495
44	9.05338e+32	-2.69146e+15	-4.55831e+17	-71986.3	-3.66347e+06
45	3.01552e+25	-3.31183e+17	4.75363e+16	-2.05915e+06	295226
46	2.71414e+21	-7.62025e+16	-4.43131e+16	-421159	-261464
47	3.93149e+20	-3.07408e+16	-2.10793e+16	-329099	-170332
48	6.40856e+31	1.15096e+16	6.93458e+16	94975.1	499466
49	8.60666e+19	1.37203e+16	2.03425e+16	145382	121710
50	5.40013e+15	-6.62658e+14	8.34654e+15	55199.2	26754.5
51	1.04078e+20	9.64093e+15	1.86838e+15	164253	122560
52	8.34462e+23	1.06372e+16	-2.09323e+16	44989.9	-158775
53	5.22951e+17	3.1629e+16	2.60401e+16	367605	262099
54	2.34121e+12	-9.52049e+15	-1.14297e+15	-13158	-27503.1
55	1.1308e+31	-9.64751e+15	-5.6644e+14	55308.3	-84158.9
