id	mass	x	y	vel_x	vel_y
0	3.622616604806448e+39	3.8530364439148866e+23	-1.6356198162793214e+25	-475.6530004659744	4179.52279700343
1	3.160970368488177e+39	1.7199511550159168e+25	-4.509661176466719e+25	-109.91259754086059	8195.15154308089
2	6.706016834434658e+38	-2.3175763138887274e+25	-1.3235099811406925e+25	2137.4033296289035	-9712.143072725332
3	2.0392921551515886e+39	7.954214462510009e+24	3.7942589360621622e+25	-2532.9353216699155	1072.5247528671807
4	2.848498530656846e+39	1.2075952210658284e+25	-1.7059278921998333e+25	1421.1368068043666	2292.5355131521646
5	2.3303396237349718e+39	3.902114576640598e+25	-2.6041625423235584e+25	-2047.5312351438824	5768.339578378524
6	1.0527738631554108e+39	3.737307578691332e+25	1.7788764904274223e+25	-8465.255897054747	-7098.180108849854
7	4.1926428590522495e+39	1.5155378058023808e+25	-3.5441872327965766e+25	9.26486087100784	-1285.7435966581907
8	7.369635929257663e+39	4.792910215566901e+25	4.486970587987386e+25	-4215.097483943981	-3683.458209716983
9	5.94021460629973e+39	-1.3548917122335373e+24	3.7149325700325924e+25	-3512.3647830265336	-7383.633123328559
10	7.324599166931288e+39	-2.003857699438859e+25	7.912560190863319e+24	-8664.901462172194	5480.84077603353
11	8.829378959294898e+38	4.483062696926501e+25	1.520189903888115e+25	8552.443286627276	-3189.66590550587
12	7.826781437756523e+39	3.716440824952389e+25	1.1883698991983414e+25	-78.12520757283528	169.52030755259693
13	1.92209200318747e+38	-3.261574401296841e+24	-1.139458406615894e+25	-4901.582710707708	-6119.361778089778
14	2.317880843492437e+39	3.561508467996534e+25	2.8145990236443877e+25	3504.9974652764777	8736.591603004046
15	3.154076675549544e+39	5.109533834622134e+24	-9.16198442439049e+24	-116.47824801561546	119.72535119606982
16	3.135392211762054e+39	3.0383536128017954e+25	-1.0022700225230039e+25	8054.351967730909	-7934.347996634706
17	8.257965852992009e+39	1.9600471995090297e+24	-4.203670371023129e+25	5804.823692109167	-2329.9263155041917
18	8.436015601828108e+39	-2.762357762743839e+25	-1.834584911365076e+25	7540.105652631311	5549.041008273443
